calcium_label,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff
1,193.92471712827682,1.0,7.085161715745926,81.35382729768753,112.5708898305893,0.10574868232456607,1.2711535515263677,1.8156595133966016,67.0,64.0,62.0,0.04411764705882353,1.0,1.0,193.92471712827682,1.5390850565736256,1.5390850565736256,1163.03759765625,0.008146670646965504,0.027450241148471832
2,81.17132237553596,1.0,0.8417640291154385,42.00897693634033,39.16234543919563,0.012563642225603558,0.6563902646303177,0.6216245307808831,67.0,64.0,63.0,0.0,1.0,0.984375,81.17132237553596,0.6391442706735115,0.6391442706735115,4384.177734375,0.004914122633635998,0.036294400691986084
3,165.46705728769302,1.0,11.109913980588317,96.52409273386002,68.94296455383301,0.1658196116505719,1.5081889489665627,1.111983299255371,67.0,64.0,62.0,0.04411764705882353,1.0,1.0,165.46705728769302,1.3132306133943892,1.3132306133943892,2798.3310546875,0.01047992892563343,0.06174693629145622
4,117.3962190747261,1.0,0.0,57.2216357588768,60.174583315849304,0.0,0.89408805873245,0.9705577954169242,67.0,64.0,62.0,0.0,1.0,1.0,117.3962190747261,0.9317160244025882,0.9317160244025882,4560.0556640625,-0.0002744508965406567,0.03782447427511215
5,182.4245082139969,1.0,0.17791787785245106,86.36825227737427,96.05625593662262,0.0026554907142156874,1.349503941833973,1.5492944505906874,67.0,64.0,62.0,0.0,1.0,1.0,182.4245082139969,1.4478135572539435,1.4478135572539435,3053.78662109375,5.2381004934431985e-05,0.029782818630337715
6,324.217281460762,1.0,0.3550886103475932,160.53127205371857,163.68600940704346,0.005299830005187958,2.5083011258393526,2.640096925920056,67.0,64.0,62.0,0.0,1.0,1.0,324.217281460762,2.573153027466365,2.573153027466365,2455.59033203125,0.011238517239689827,0.03997623920440674
7,4.9909378797747195,0.15384615384615385,7.54518424347043,4.875802982598543,0.11513489717617631,0.11261469020105119,0.07618442160310224,0.0018570144705834888,67.0,64.0,62.0,0.39705882352941174,0.15384615384615385,0.0,4.9909378797747195,0.03961061809345016,0.03961061809345016,3521.191162109375,0.004933102056384087,0.023411810398101807
8,0.24557042424567044,0.0,2.2671538918148144,0.24557042424567044,0.0,0.03383811778828081,0.0038370378788386006,0.0,67.0,64.0,62.0,0.04411764705882353,0.0,0.0,0.24557042424567044,0.0019489716209973845,0.0019489716209973845,4796.11474609375,-0.00249087275005877,0.018531423062086105
9,8.919920760206878,0.4153846153846154,0.36760116880759597,4.859853696078062,4.060067064128816,0.005486584609068597,0.07593521400121972,0.06548495264723897,67.0,64.0,62.0,0.0,0.4153846153846154,0.2698412698412698,8.919920760206878,0.0707930219064038,0.0707930219064038,3428.74658203125,-0.0012951659737154841,0.016907544806599617
10,156.20328569412231,1.0,8.198534213006496,70.60382318496704,85.59946250915527,0.12236618228367906,1.10318473726511,1.3806364920831495,67.0,64.0,62.0,0.17647058823529413,1.0,1.0,156.20328569412231,1.2397086166200184,1.2397086166200184,2205.343017578125,-0.0016617797082290053,0.031927578151226044
11,13.001756716519594,0.9076923076923077,4.0670519806444645,7.871278494596481,5.130478221923113,0.06070226836782783,0.12298872647807002,0.08274964874069538,67.0,64.0,62.0,0.04411764705882353,0.9076923076923077,0.30158730158730157,13.001756716519594,0.10318854536920313,0.10318854536920313,7769.56787109375,-0.0025520683266222477,0.018232448026537895
12,49.009120255708694,1.0,5.9655955247581005,23.211023032665253,25.79809722304344,0.08903873917549404,0.3626722348853946,0.4160983423071523,67.0,64.0,62.0,0.0,1.0,1.0,49.009120255708694,0.38896127187070395,0.38896127187070395,2367.189453125,-0.00597599521279335,0.03907882422208786
13,1.2469518078632973,0.0,0.35538771719438955,0.6666850073288515,0.5802668005344458,0.005304294286483426,0.010416953239513305,0.009359141944103965,67.0,64.0,62.0,0.0,0.0,0.0,1.2469518078632973,0.009896442919549978,0.009896442919549978,13058.96875,-0.0003457944840192795,0.011553347110748291
14,80.4100868999958,1.0,15.001548685133457,33.11595317721367,47.294133722782135,0.2239037117184098,0.5174367683939636,0.76280860843197,67.0,64.0,62.0,0.5294117647058824,1.0,1.0,80.4100868999958,0.6381752928571095,0.6381752928571095,5842.5732421875,0.003990367986261845,0.042621348053216934
15,0.891840447060531,0.015384615384615385,0.8717667141463608,0.7422089694300666,0.14963147763046436,0.013011443494721803,0.011597015147344791,0.0023751028195311804,67.0,64.0,63.0,0.0,0.015384615384615385,0.0,0.891840447060531,0.007022365724886071,0.007022365724886071,3968.33349609375,-0.002106846310198307,0.016070380806922913
16,26.61783091723919,0.9538461538461539,9.932702984660864,12.520198911428452,14.097632005810738,0.14824929827852035,0.19562810799106956,0.22738116138404416,67.0,64.0,62.0,0.5441176470588235,0.9538461538461539,1.0,26.61783091723919,0.21125262632729516,0.21125262632729516,5194.94384765625,0.0037369292695075274,0.02863864041864872
17,5.80506989476271,0.16923076923076924,1.184192650951445,2.883100236998871,2.9219696577638388,0.017674517178379777,0.04504844120310736,0.04638047075815617,67.0,64.0,63.0,0.0,0.16923076923076924,0.09375,5.80506989476271,0.04570921176978512,0.04570921176978512,4978.7109375,0.0003424396854825318,0.01835111528635025
18,10.58724827808328,0.07692307692307693,1.5837883717613295,4.757179382489994,5.830068895593286,0.0236386324143482,0.07433092785140616,0.09403336928376267,67.0,64.0,62.0,0.0,0.07692307692307693,0.07936507936507936,10.58724827808328,0.08402577998478794,0.08402577998478794,3214.32373046875,0.0018488338682800531,0.034911930561065674
19,131.75424772500992,1.0,6.844878952950239,60.65056651830673,71.10368120670319,0.10216237243209313,0.9476651018485427,1.1468335678500514,67.0,64.0,62.0,0.0,1.0,1.0,131.75424772500992,1.045668632738174,1.045668632738174,3660.10888671875,-0.004644489847123623,0.0332256555557251
20,67.67628329992294,1.0,2.545506319962442,39.20972615480423,28.466557145118713,0.03799263164123048,0.6126519711688161,0.45185011341458275,67.0,64.0,63.0,0.0,1.0,0.984375,67.67628329992294,0.5328841204718342,0.5328841204718342,1875.813720703125,-0.0053580510430037975,0.019684351980686188
21,0.05712601076811552,0.0,0.019136546179652214,0.05712601076811552,0.0,0.00028562009223361516,0.000892593918251805,0.0,67.0,64.0,62.0,0.0,0.0,0.0,0.05712601076811552,0.0004533810378421867,0.0004533810378421867,4167.048828125,-0.003035771194845438,0.03599859029054642
22,12.546340603381395,0.4307692307692308,0.8742329459637403,5.973393969237804,6.572946634143591,0.013048252924831945,0.0933342807693407,0.10433248625624747,67.0,64.0,63.0,0.0,0.4307692307692308,0.71875,12.546340603381395,0.09879008349119209,0.09879008349119209,7466.21728515625,-0.0038588724564760923,0.01610950194299221
23,24.322881624102592,1.0,7.34486872702837,13.552809536457062,10.77007208764553,0.10962490637355776,0.2117626490071416,0.173710840123315,67.0,64.0,62.0,0.5147058823529411,1.0,0.9841269841269841,24.322881624102592,0.19303874304843327,0.19303874304843327,6992.76171875,0.0018593970453366637,0.022419966757297516
24,217.45089948177338,1.0,11.512390710413456,108.01919841766357,109.4317010641098,0.17182672702109636,1.6877999752759933,1.7370111280017428,67.0,64.0,63.0,0.5588235294117647,1.0,0.984375,217.45089948177338,1.7122118069430974,1.7122118069430974,1798.30419921875,-0.0017390272114425898,0.03386088088154793
25,82.07368636131287,1.0,11.163183845579624,35.006069123744965,47.0676172375679,0.16661468426238246,0.5469698300585151,0.7471050355169508,67.0,64.0,63.0,0.8529411764705882,1.0,0.984375,82.07368636131287,0.6462494989079753,0.6462494989079753,2602.06396484375,-0.0013414878631010652,0.02529548667371273
26,13.621446264907718,0.4461538461538462,4.535473544150591,7.48209347948432,6.139352785423398,0.06769363498732225,0.1169077106169425,0.09745004421306981,67.0,64.0,63.0,0.22058823529411764,0.4461538461538462,0.359375,13.621446264907718,0.10725548240084817,0.10725548240084817,7345.9580078125,-0.003555509727448225,0.017415322363376617
