stain_label,calcium_label,overlap_px,frac_stain,stain_area,calcium_area,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff,cell_area,O4_prop,O4_mfi_norm,PDGFRa_prop,PDGFRa_mfi_norm,MBP_prop,MBP_mfi_norm
349,269,7179,0.999304008908686,7184,23416,39.7983690649271,1.0,3.661760235670954,13.528506115078926,26.269862949848175,0.05306898892276745,0.20497736537998373,0.4041517376899719,69.0,66.0,65.0,0.0,1.0,1.0,39.7983690649271,0.3038043440070771,0.3038043440070771,351.7354431152344,0.00044475728645920753,0.024894729256629944,8651,0.8058027973644666,1.557948764102671,0.04242284129002427,1.1197948119281174,0.8425615535776211,2.277639044779709
346,274,5722,0.9562165775401069,5984,10306,19.27564787119627,0.0,2.672174169769278,5.957350447773933,13.318297423422337,0.03872716188071417,0.09026288557233232,0.20489688343726672,69.0,66.0,65.0,0.0,0.0,0.21212121212121213,19.27564787119627,0.14714235016180358,0.14714235016180358,164.45565795898438,0.009119067341089249,0.04910826310515404,5100,0.9013725490196078,1.626421727812622,0.12019607843137255,1.1162761152324756,0.22686274509803922,1.828778080966185
356,253,5345,0.8932152406417112,5984,30332,43.249166294932365,1.0,4.843954507261515,14.679678663611412,28.569487631320953,0.07020223923567412,0.222419373691082,0.4395305789433993,69.0,66.0,65.0,0.2571428571428571,1.0,1.0,43.249166294932365,0.33014630759490354,0.33014630759490354,404.9063415527344,-0.0014400749932974577,0.018853096291422844,641,1.0,1.9027169490542861,0.0,0.7960868970753544,0.0,1.428077524140872
311,248,5287,0.9818012999071495,5385,7012,20.58701033703983,0.0,3.0043367446633056,6.371876208111644,14.215134128928185,0.04354111224149718,0.09654357891078248,0.21869437121427976,69.0,66.0,65.0,0.0,0.0,0.09090909090909091,20.58701033703983,0.15715275066442616,0.15715275066442616,202.29705810546875,0.00885593518614769,0.06265725940465927,811,0.6966707768187423,1.7941680061027283,0.0,0.9148981688126678,0.3033292231812577,1.5546274056977374
402,307,4723,0.8009157198575547,5897,10585,27.576015308499336,0.07462686567164178,4.221009591361508,9.632855787873268,17.943159520626068,0.06030013701945011,0.14595236042232224,0.2760486080096318,70.0,66.0,65.0,0.0,0.07462686567164178,0.8181818181818182,27.576015308499336,0.2105039336526667,0.2105039336526667,173.0255126953125,-0.0018606591038405895,0.04401224106550217,5745,0.8454308093994778,1.655294905216191,0.07275892080069626,1.0107192646706873,0.48076588337684945,2.113175654413959
133,80,4175,1.0,4175,23921,53.21906282007694,0.0,6.4648995734751225,19.067532911896706,34.15152990818024,0.09369419671703076,0.28459004346114486,0.5254081524335421,69.0,67.0,65.0,0.0,0.0,0.9545454545454546,53.21906282007694,0.4031747183339162,0.4031747183339162,214.25296020507812,-0.011304938234388828,0.09497331827878952,2889,0.8608515057113187,1.6118005510559639,0.04984423676012461,0.9363010488071808,0.12599515403253722,1.5489283516857857
107,62,4094,0.9003738728832197,4547,10439,14.574025176218129,0.0,1.4146058679907583,4.132018975666142,10.442006200551987,0.020501534318706643,0.06167192500994242,0.16064624923926132,69.0,67.0,65.0,0.0,0.0,0.25757575757575757,14.574025176218129,0.11040928163801612,0.11040928163801612,216.06198120117188,-0.011840862222015858,0.04114816337823868,8531,1.0,2.9517886196488328,0.5041612941038566,1.6978511952091448,0.0,1.4089334670856626
439,343,3478,0.9994252873563219,3480,9463,26.84821981564164,0.029411764705882353,2.2082865739939734,8.063601899892092,18.78461791574955,0.031546951057056766,0.12035226716256853,0.2889941217807623,70.0,67.0,65.0,0.0,0.029411764705882353,0.9696969696969697,26.84821981564164,0.20339560466395182,0.20339560466395182,399.13983154296875,-0.00457377266138792,0.039397720247507095,4665,1.0,1.807827547354599,0.0,1.1770075330457086,0.0,1.5328037148919078
431,325,3455,0.9806982685211467,3523,14871,58.57750913500786,1.0,7.360712327063084,23.435467332601547,35.14204180240631,0.10515303324375834,0.35508283837275073,0.5406467969600971,70.0,66.0,65.0,0.16901408450704225,1.0,1.0,58.57750913500786,0.4471565582825027,0.4471565582825027,257.1265869140625,0.0033673541620373726,0.028365908190608025,0,0.0,,0.0,,0.0,
449,355,3374,0.7955670832350861,4241,4142,27.383845821022987,0.0,3.735749928513542,8.976435840129852,18.407409980893135,0.05336785612162202,0.1339766543302963,0.2831909227829713,70.0,67.0,65.0,0.0,0.0,0.12121212121212122,27.383845821022987,0.20745337743199233,0.20745337743199233,211.3221893310547,0.01758546382188797,0.07478746026754379,6344,0.9531841109709962,1.8855669203610486,0.19719419924337958,1.3891945794233995,0.0,1.3353367830136857
