calcium_label,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff
1,3.2977227582596242,0.0,6.561452788300812,0.9845408322289586,2.3131819260306656,0.08305636440887104,0.016409013870482644,0.03452510337359203,79.0,60.0,67.0,0.0375,0.0,0.0,3.2977227582596242,0.025966320931178143,0.025966320931178143,527.364990234375,0.027440499514341354,0.05273856967687607
2,0.8909509666264057,0.0,0.8384518810198642,0.4663328384049237,0.42461812822148204,0.010613314949618535,0.007772213973415394,0.006337584003305702,79.0,60.0,67.0,0.0,0.0,0.0,0.8909509666264057,0.007015361941940202,0.007015361941940202,754.0245361328125,-0.015944259241223335,0.0712953507900238
3,23.11361810012022,0.0,8.220016743754968,7.994134591892362,15.119483508227859,0.10405084485765782,0.13323557653153936,0.22566393295862475,79.0,60.0,67.0,0.0,0.0,0.0,23.11361810012022,0.18199699291433244,0.18199699291433244,300.2756652832031,0.01659364439547062,0.1962297409772873
4,35.59742075577378,0.32786885245901637,1.4187153736129403,18.873421542346478,16.723999213427305,0.017958422450796714,0.31455702570577465,0.2496119285586165,79.0,60.0,67.0,0.0,0.32786885245901637,0.17647058823529413,35.59742075577378,0.280294651620266,0.280294651620266,1322.31201171875,-0.007048639003187418,0.08302627503871918
5,49.30919291079044,0.8360655737704918,8.05208457633853,16.128965631127357,33.180227279663086,0.10192512121947506,0.26881609385212263,0.4952272728307923,79.0,60.0,67.0,0.0125,0.8360655737704918,1.0,49.30919291079044,0.38826136150228696,0.38826136150228696,780.8359375,-0.009222719818353653,0.0446082279086113
6,10.315812450018711,0.0,10.153708960860968,1.4919403597014025,8.823872090317309,0.12852796152988566,0.02486567266169004,0.13169958343757177,79.0,60.0,67.0,0.15,0.0,0.16176470588235295,10.315812450018711,0.0812268696851867,0.0812268696851867,261.8422546386719,-0.0056012822315096855,0.05334504321217537
7,0.2981982007622719,0.0,1.8799735372886062,0.0,0.2981982007622719,0.023797133383400077,0.0,0.004450719414362267,79.0,60.0,67.0,0.0625,0.0,0.0,0.2981982007622719,0.0023480173288367863,0.0023480173288367863,605.048095703125,0.008412917144596577,0.026165802031755447
8,16.780725336284377,0.0,3.7495724111795425,1.7781191529938951,15.002606183290482,0.047462941913665097,0.02963531921656492,0.22391949527299226,79.0,60.0,67.0,0.025,0.0,0.5735294117647058,16.780725336284377,0.1321316955612943,0.1321316955612943,483.535888671875,-0.0024183979257941246,0.043248679488897324
9,85.39584051119164,0.01639344262295082,0.6556556299328804,2.7983724479563534,82.59746806323528,0.008299438353580765,0.04663954079927256,1.2327980307945565,79.0,60.0,67.0,0.0,0.01639344262295082,0.9852941176470589,85.39584051119164,0.672408193001509,0.672408193001509,575.2490234375,0.0101942028850317,0.05122143030166626
10,2.051876389508834,0.0,3.0985357735717116,0.5566872311756015,1.4951891583332326,0.039221971817363435,0.009278120519593359,0.02231625609452586,79.0,60.0,67.0,0.0,0.0,0.0,2.051876389508834,0.016156507004006566,0.016156507004006566,464.5377502441406,0.00024873478105291724,0.06879132241010666
11,24.297758668661118,0.0,8.358300717547536,8.735875999554992,15.561882669106126,0.10580127490566502,0.14559793332591653,0.23226690550904666,79.0,60.0,67.0,0.0,0.0,0.0,24.297758668661118,0.19132093439890643,0.19132093439890643,83.87132263183594,0.041427794843912125,0.1954052448272705
12,11.602773070015246,0.0,2.6233620361890644,5.07486391151906,6.527909158496186,0.03320711438214006,0.08458106519198433,0.09743147997755501,79.0,60.0,67.0,0.0125,0.0,0.014705882352941176,11.602773070015246,0.09136041787413579,0.09136041787413579,357.1510009765625,-0.009336665272712708,0.05702570080757141
13,30.77740908972919,0.0,8.069538834621198,10.020900381729007,20.756508708000183,0.10214606119773668,0.1670150063621501,0.30979863743283853,79.0,60.0,67.0,0.0,0.0,0.2647058823529412,30.77740908972919,0.24234180385613535,0.24234180385613535,577.0948486328125,0.019542692229151726,0.07087252289056778
14,2.237806098535657,0.0,2.9999635694548488,0.42143994476646185,1.816366153769195,0.037974222398162644,0.0070239990794410305,0.027109942593570076,79.0,60.0,67.0,0.025,0.0,0.014705882352941176,2.237806098535657,0.017620520460910685,0.017620520460910685,376.0273132324219,0.005050461273640394,0.05353206768631935
15,34.16838435083628,0.0,12.27997223334387,13.20170520991087,20.966679140925407,0.15544268649802367,0.22002842016518115,0.3129355095660509,79.0,60.0,67.0,0.0,0.0,0.0,34.16838435083628,0.26904239646327777,0.26904239646327777,54.20378875732422,0.044766929000616074,0.14281296730041504
16,27.106714013963938,0.04918032786885246,5.727888468885794,6.975706968456507,20.13100704550743,0.07250491732766828,0.11626178280760845,0.3004627917239915,79.0,60.0,67.0,0.0,0.04918032786885246,0.8676470588235294,27.106714013963938,0.2134386930233381,0.2134386930233381,965.5803833007812,-0.007766862399876118,0.049405694007873535
17,17.584968231618404,0.01639344262295082,2.0707033602520823,6.7728636264801025,10.812104605138302,0.02621143493989978,0.11288106044133504,0.16137469559907913,79.0,60.0,67.0,0.0,0.01639344262295082,0.14705882352941177,17.584968231618404,0.13846431678439688,0.13846431678439688,879.6788330078125,-0.011401563882827759,0.04963795840740204
18,4.157334298477508,0.0,4.891905233729631,0.46336809440981597,3.693966204067692,0.06192285105986874,0.007722801573496933,0.055133823941308835,79.0,60.0,67.0,0.0125,0.0,0.0,4.157334298477508,0.03273491573604337,0.03273491573604337,754.9404296875,0.0058210259303450584,0.046170514076948166
19,35.947918805160725,0.0,8.9498041998595,13.534136029758656,22.41378277540207,0.1132886607577152,0.22556893382931092,0.33453407127465773,79.0,60.0,67.0,0.0,0.0,0.0,35.947918805160725,0.2830544787807931,0.2830544787807931,215.13778686523438,0.014919421635568142,0.1485387682914734
20,2.2704200738226064,0.0,3.1348301987163723,0.6722514059511013,1.598168667871505,0.03968139492046041,0.011204190099185022,0.023853263699574703,79.0,60.0,67.0,0.0,0.0,0.0,2.2704200738226064,0.017877323415926034,0.017877323415926034,343.9129333496094,0.006609941832721233,0.07606489956378937
21,0.7754524882184342,0.0,4.058330346830189,0.19081537809688598,0.5846371101215482,0.05137127021304037,0.0031802563016147664,0.008725927016739524,79.0,60.0,67.0,0.0375,0.0,0.0,0.7754524882184342,0.006105925104082159,0.006105925104082159,489.9322204589844,0.013317758217453957,0.041768431663513184
22,4.674809868214652,0.01639344262295082,3.7788876448757946,1.5741792675107718,3.10063060070388,0.04783402082121259,0.02623632112517953,0.046278068667222096,79.0,60.0,67.0,0.075,0.01639344262295082,0.04411764705882353,4.674809868214652,0.03680952652137521,0.03680952652137521,534.458740234375,-0.00838438980281353,0.0394757054746151
23,32.363829800859094,0.03278688524590164,11.183645936660469,12.674493903294206,19.689335897564888,0.1415651384387401,0.21124156505490344,0.2938706850382819,79.0,60.0,67.0,0.05,0.03278688524590164,0.16176470588235295,32.363829800859094,0.2548333055185755,0.2548333055185755,242.44308471679688,-0.019703131169080734,0.08511226624250412
24,11.042797801550478,0.0,3.856409120548051,2.547050347086042,8.495747454464436,0.04881530532339305,0.0424508391181007,0.12680220081290203,79.0,60.0,67.0,0.0,0.0,0.029411764705882353,11.042797801550478,0.08695116379173605,0.08695116379173605,1182.9808349609375,2.4122688046190888e-05,0.04756217822432518
