t,cell_id,mean,area,dff
0,1,571.0177612304688,2989,0.08277525752782822
1,1,557.8899536132812,2989,0.05788204446434975
2,1,565.83203125,2989,0.07294196635484695
3,1,526.1027221679688,2989,-0.00239353789947927
4,1,520.6300048828125,2989,-0.01277101319283247
5,1,524.0859985351562,2989,-0.006217689253389835
6,1,525.22216796875,2989,-0.004063262138515711
7,1,542.4188842773438,2989,0.028545493260025978
8,1,507.9692077636719,2989,-0.03677866980433464
9,1,573.1194458007812,2989,0.086760513484478
10,1,527.364990234375,2989,0.0
11,1,594.7069091796875,2989,0.12769508361816406
12,1,507.5098571777344,2989,-0.03764969855546951
13,1,0.0,2989,-1.0
14,1,0.0,2989,-1.0
15,1,0.0,2989,-1.0
16,1,0.0,2989,-1.0
17,1,692.3138427734375,2989,0.3127793073654175
18,1,658.0408325195312,2989,0.24779012799263
19,1,709.1010131835938,2989,0.3446114659309387
20,1,681.9956665039062,2989,0.29321375489234924
21,1,677.9136962890625,2989,0.28547346591949463
22,1,601.56005859375,2989,0.1406901627779007
23,1,587.8785400390625,2989,0.11474699527025223
24,1,656.1151123046875,2989,0.24413853883743286
25,1,582.2218017578125,2989,0.10402058064937592
26,1,648.4710693359375,2989,0.22964376211166382
27,1,650.8267211914062,2989,0.23411059379577637
28,1,660.0478515625,2989,0.2515958845615387
29,1,633.3392333984375,2989,0.2009504735469818
30,1,634.075927734375,2989,0.20234741270542145
31,1,624.0431518554688,2989,0.18332305550575256
32,1,646.9464721679688,2989,0.22675278782844543
33,1,593.9802856445312,2989,0.12631724774837494
34,1,641.1799926757812,2989,0.21581827104091644
35,1,575.8468017578125,2989,0.09193217754364014
36,1,635.30078125,2989,0.2046699970960617
37,1,622.5045166015625,2989,0.18040546774864197
38,1,618.87353515625,2989,0.17352032661437988
39,1,633.8999633789062,2989,0.20201373100280762
40,1,599.8106689453125,2989,0.1373729407787323
41,1,658.759765625,2989,0.24915339052677155
42,1,628.9725952148438,2989,0.19267036020755768
43,1,566.5513305664062,2989,0.07430592179298401
44,1,590.063232421875,2989,0.11888965219259262
45,1,618.136474609375,2989,0.17212270200252533
46,1,569.4710693359375,2989,0.07984238862991333
47,1,573.0187377929688,2989,0.08656954765319824
48,1,558.1655883789062,2989,0.05840470641851425
49,1,526.5546875,2989,-0.0015365121653303504
50,1,599.393798828125,2989,0.13658246397972107
51,1,609.190673828125,2989,0.15515948832035065
52,1,563.30615234375,2989,0.06815234571695328
53,1,546.6022338867188,2989,0.03647804632782936
54,1,558.9039916992188,2989,0.05980488285422325
55,1,562.2659912109375,2989,0.06617997586727142
56,1,552.27734375,2989,0.04723929986357689
57,1,549.5968627929688,2989,0.04215652123093605
58,1,552.1575927734375,2989,0.04701222851872444
59,1,511.9698791503906,2989,-0.029192516580224037
60,1,560.99462890625,2989,0.06376919150352478
61,1,508.28070068359375,2989,-0.03618801012635231
62,1,521.9939575195312,2989,-0.010184659622609615
63,1,505.1505432128906,2989,-0.04212347790598869
64,1,535.3338623046875,2989,0.015110733918845654
65,1,486.5667419433594,2989,-0.07736244797706604
66,1,456.5680847167969,2989,-0.13424649834632874
67,1,475.7049255371094,2989,-0.09795884042978287
68,1,471.44696044921875,2989,-0.10603288561105728
69,1,497.67047119140625,2989,-0.056307338178157806
70,1,478.9023132324219,2989,-0.09189589321613312
71,1,515.25830078125,2989,-0.02295694500207901
72,1,450.4683837890625,2989,-0.14581288397312164
73,1,459.767822265625,2989,-0.12817910313606262
74,1,467.78118896484375,2989,-0.11298399418592453
75,1,497.5687561035156,2989,-0.056500211358070374
76,1,490.64971923828125,2989,-0.06962022930383682
77,1,464.6855163574219,2989,-0.11885406821966171
78,1,474.8932800292969,2989,-0.09949789941310883
79,1,444.27935791015625,2989,-0.15754863619804382
80,1,473.42822265625,2989,-0.10227597504854202
81,1,471.2546081542969,2989,-0.10639762133359909
82,1,461.3961181640625,2989,-0.12509149312973022
83,1,512.5222778320312,2989,-0.028145046904683113
84,1,469.2372131347656,2989,-0.11022304743528366
85,1,477.17864990234375,2989,-0.09516433626413345
86,1,505.7778625488281,2989,-0.040933940559625626
87,1,484.36566162109375,2989,-0.0815361812710762
88,1,500.8758850097656,2989,-0.05022916942834854
89,1,462.3175048828125,2989,-0.12334433943033218
90,1,475.3539733886719,2989,-0.0986243262887001
91,1,473.4295654296875,2989,-0.10227342694997787
