lif_path,lif_name,scene_idx,series_name,base_name,cell_id,cellpose_area_px,cell_area_px,num_nuclei,mbp_area_px,pdgfra_area_px,cnp_area_px,num_proc,num_branch3_px,num_branch4_px,avg_segment_len_px,area_ratio_union,perimeter_ratio_union,cell_perimeter_union_px,hull_perimeter_union_px,hull_area_union_px,area_ratio_mbp,perimeter_ratio_mbp,cell_perimeter_mbp_px,hull_perimeter_mbp_px,cell_area_mbp_px,hull_area_mbp_px,area_ratio_pdgfra,perimeter_ratio_pdgfra,cell_perimeter_pdgfra_px,hull_perimeter_pdgfra_px,cell_area_pdgfra_px,hull_area_pdgfra_px,area_ratio_cnp,perimeter_ratio_cnp,cell_perimeter_cnp_px,hull_perimeter_cnp_px,cell_area_cnp_px,hull_area_cnp_px,max_r_px,AUC,Imax,Rmax_px,CriticalValue,mbp_mean_in,mbp_mean_bg,mbp_int_ratio,pdg_mean_in,pdg_mean_bg,pdg_int_ratio,cnp_mean_in,cnp_mean_bg,cnp_int_ratio,scene_area_ratio_union,scene_perimeter_ratio_union,scene_area_ratio_mbp,scene_perimeter_ratio_mbp,scene_area_ratio_pdgfra,scene_perimeter_ratio_pdgfra,scene_area_ratio_cnp,scene_perimeter_ratio_cnp
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,1,36562,13767,2,0,13763,164,35,136,35,10.274725274725276,2.568170262221254,2.177553907272934,1990.284271247462,914.0,35356,,,0.0,0.0,0,0,2.568916660611785,2.176233221516713,1989.0771644662755,914.0,13763,35356,11.914634146341463,0.20740374123398228,85.03553390593274,410.0,164,1954,170,602.5,9.0,85.0,82.5,111.469165395511,112.0,0.9952604053170625,278.2696359805275,145.0,1.9191009377967412,122.8109756097561,117.0,1.0496664582030435,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,2,15384,8077,1,0,8077,0,35,112,22,8.2125,1.9333911105608519,2.551141656425962,1321.4913780286483,518.0,15616,,,0.0,0.0,0,0,1.9333911105608519,2.551141656425962,1321.4913780286483,518.0,8077,15616,,,0.0,0.0,0,0,100,412.5,10.0,50.0,47.5,108.33205398043827,112.0,0.9672504819681988,276.34208245635756,145.0,1.905807465216259,115.02141884363006,117.0,0.983089049945556,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,3,37962,15243,0,2,15198,222,85,266,110,5.628272251308901,2.3826674539132715,2.2264127516332657,2288.752308678997,1028.0,36319,1.0,,0.0,0.0,2,2,2.3897223318857743,2.1968269407749266,2258.3380951166246,1028.0,15198,36319,3.7432432432432434,0.4322705618954017,95.62132034355963,221.20710678118655,222,831,199,862.5,23.0,80.0,97.5,122.5,112.0,1.09375,357.29141992367414,145.0,2.4640787580943044,130.76576576576576,117.0,1.1176561176561177,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,4,17732,12476,2,0,11510,3441,95,543,273,3.967741935483871,1.4168804103879449,3.9004894803862187,2394.900540957138,614.0,17677,,,0.0,0.0,0,0,1.4882710686359688,4.2307232153945975,2580.7411613907043,610.0,11510,17130,4.1267073525138045,1.6891975651175488,986.4913780286485,584.0,3441,14200,168,600.0,10.0,85.0,84.83870967741936,111.88818531580635,112.0,0.9990016546054139,287.15994787141614,145.0,1.9804134335959733,139.7175239755885,117.0,1.1941668715862266,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,5,19651,7280,2,0,6946,446,75,242,85,4.417142857142857,2.4027472527472526,2.538356428245009,1553.4741340859455,612.0,17492,,,0.0,0.0,0,0,2.471638353008926,2.438006406084268,1492.0599205235721,612.0,6946,17168,5.150224215246637,0.428715303318324,118.4142135623731,276.20710678118655,446,2297,191,625.0,14.0,115.0,92.5,110.33159340659341,112.0,0.9851035125588697,269.0860927152318,145.0,1.8557661566567711,128.32959641255604,117.0,1.096834157372274,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,6,26850,17563,4,0,16850,2961,102,422,206,5.206896551724138,1.528554347207197,3.9490173891058893,2953.8650070512053,748.0,26846,,,0.0,0.0,0,0,1.5608308605341246,3.764372895397784,2800.6934341759516,744.0,16850,26300,5.310705842620736,1.514932757045604,899.8700576850888,594.0,2961,15725,126,882.5,30.0,75.0,60.0,111.50646244946763,112.0,0.9955934147273896,388.3818991097923,145.0,2.678495855929602,135.6399864910503,117.0,1.1593161238551308,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,7,36830,21389,4,0,20369,2426,116,426,136,5.8924050632911396,1.8389826546355603,3.162773536693843,2954.0304832720494,934.0,39334,,,0.0,0.0,0,0,1.8611124748392165,3.0595843721794527,2857.651803615609,934.0,20369,37909,4.267930750206101,1.2210294448905,593.4203102167829,486.0,2426,10354,227,1095.0,15.0,155.0,110.0,112.28874655196596,112.0,1.0025780942139817,297.3715449948451,145.0,2.0508382413437594,140.0457543281121,117.0,1.1969722592146335,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,8,29258,16399,1,659,16232,205,94,367,137,5.556818181818182,1.8573693517897434,3.3793482753791766,2865.687337521542,848.0,30459,1.047040971168437,1.0137400029115224,119.62132034355965,118.0,659,690,1.8764169541646132,3.280738227804224,2782.066017177982,848.0,16232,30458,8.668292682926829,0.3895885142931877,109.86396103067894,282.0,205,1777,141,877.5,17.0,65.0,67.5,143.44309559939302,112.0,1.2807419249945806,293.6854361754559,145.0,2.0254168012100404,129.0487804878049,117.0,1.1029810298102982,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,10,29894,17983,2,0,17983,253,99,348,88,6.678571428571429,1.6968247789579047,3.5134554300127276,2951.3025612106912,840.0,30514,,,0.0,0.0,0,0,1.6968247789579047,3.5134554300127276,2951.3025612106912,840.0,17983,30514,20.49802371541502,0.17097431553029982,102.24264068711929,598.0,253,5186,143,957.5,24.0,80.0,67.5,114.09798142690319,112.0,1.0187319770259213,324.9589056330979,145.0,2.2410959009179168,130.1897233201581,117.0,1.1127326779500692,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_0404.lif,Vehicle_0404,0,Image 1,Vehicle_0404_S1_Image_1,11,37470,16080,2,0,15954,130,57,173,30,9.151079136690647,2.864676616915423,2.2819584808477735,2510.154328932551,1100.0,46064,,,0.0,0.0,0,0,2.8869249091137017,2.2372247474103313,2460.9472221513643,1100.0,15954,46058,1.2230769230769232,0.8714756369917636,59.62132034355964,68.41421356237309,130,159,222,837.5,10.0,85.0,107.5,111.47767412935323,112.0,0.9953363761549395,281.6855960887552,145.0,1.9426592833707252,128.3153846153846,117.0,1.096712689020381,1.7577482169879937,2.573847665759581,2.0194357105094745,1.6256304827287795,2.2634098182584177,2.189377218484114,1.8542714511627558,1.9492496449131846
