lif_path,lif_name,scene_idx,series_name,base_name,cell_id,cellpose_area_px,cell_area_px,num_nuclei,mbp_area_px,pdgfra_area_px,cnp_area_px,num_proc,num_branch3_px,num_branch4_px,avg_segment_len_px,area_ratio_union,perimeter_ratio_union,cell_perimeter_union_px,hull_perimeter_union_px,hull_area_union_px,area_ratio_mbp,perimeter_ratio_mbp,cell_perimeter_mbp_px,hull_perimeter_mbp_px,cell_area_mbp_px,hull_area_mbp_px,area_ratio_pdgfra,perimeter_ratio_pdgfra,cell_perimeter_pdgfra_px,hull_perimeter_pdgfra_px,cell_area_pdgfra_px,hull_area_pdgfra_px,area_ratio_cnp,perimeter_ratio_cnp,cell_perimeter_cnp_px,hull_perimeter_cnp_px,cell_area_cnp_px,hull_area_cnp_px,max_r_px,AUC,Imax,Rmax_px,CriticalValue,mbp_mean_in,mbp_mean_bg,mbp_int_ratio,pdg_mean_in,pdg_mean_bg,pdg_int_ratio,cnp_mean_in,cnp_mean_bg,cnp_int_ratio,scene_area_ratio_union,scene_perimeter_ratio_union,scene_area_ratio_mbp,scene_perimeter_ratio_mbp,scene_area_ratio_pdgfra,scene_perimeter_ratio_pdgfra,scene_area_ratio_cnp,scene_perimeter_ratio_cnp
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,1,22549,13413,2,9637,734,12984,39,65,15,10.081967213114755,1.7989264146723327,2.094294423792014,1466.00609665441,700.0,24129,2.468506796720971,2.296906462541651,1607.834523779156,700.0,9637,23789,20.352861035422343,0.39086787894191594,241.55634918610406,618.0,734,14939,1.836260012322859,1.9800087095063,1386.00609665441,700.0,12984,23842,206,567.5,10.0,125.0,100.0,477.27861367645534,140.0,3.409132954831824,168.55313351498637,138.0,1.221399518224539,324.0835643869378,129.0,2.5122756929219983,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,2,22731,13326,2,826,11784,1701,36,77,11,12.852459016393443,1.8692030616839261,1.8365576547241396,1583.1126983722083,862.0,24909,8.531476997578693,0.6005018270545227,315.8639610306789,526.0,826,7047,1.9375424304141209,1.5420163435975331,1286.0416305603426,834.0,11784,22832,3.2039976484420927,0.8188341034829862,412.6923881554251,504.0,1701,5450,187,612.5,10.0,35.0,90.0,241.84624697336562,140.0,1.7274731926668974,277.09962661235573,138.0,2.0079683087851863,177.82128159905938,129.0,1.37845954727953,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,3,29465,16727,3,112,16340,387,59,91,17,12.511627906976743,1.8494649369283196,2.612265554849748,2209.976659402887,846.0,30936,1.3125,1.103448275862069,64.0,58.0,112,147,1.8922888616891065,2.4534183015272304,2075.591883092037,846.0,16340,30920,1.7984496124031009,1.1286243180479973,133.1776695296637,118.0,387,696,136,852.5,23.0,80.0,65.0,212.51785714285714,140.0,1.517984693877551,310.3573439412485,138.0,2.2489662604438294,171.07235142118864,129.0,1.3261422590789818,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,4,14282,8729,2,0,8729,0,14,39,5,13.75,1.647611410241723,1.492216002369377,865.4852813742386,580.0,14382,,,0.0,0.0,0,0,1.647611410241723,1.492216002369377,865.4852813742386,580.0,8729,14382,,,0.0,0.0,0,0,105,287.5,7.0,75.0,50.0,141.74865391224654,140.0,1.0124903850874754,266.63821743613244,138.0,1.9321609959140031,143.03081681750487,129.0,1.108766021841123,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,5,105313,68378,7,56185,7410,64781,157,540,168,9.67156862745098,1.573693293164468,3.6677252048263496,5362.214249456123,1462.0,107606,1.8997953190353296,5.664020975443493,8314.782791951047,1468.0,56185,106740,12.818353576248313,1.9764929077180597,2763.1370849898476,1398.0,7410,94984,1.5552708355845077,3.148405718460837,4540.001046020527,1442.0,64781,100752,378,1757.5,12.0,290.0,187.5,413.00001779834474,140.0,2.950000127131034,176.7991902834008,138.0,1.2811535527782667,302.9497846590821,129.0,2.34844794309366,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,6,63537,50125,2,34249,4752,48712,75,416,103,10.575091575091575,1.418154613466334,3.272703975303545,4444.331998462214,1358.0,71085,2.0524394872843,4.27334728579338,5811.752308678997,1360.0,34249,70294,10.452651515151516,1.3681009763819938,1584.2609306503489,1158.0,4752,49671,1.4579980292330432,3.173040392276662,4308.988852711707,1358.0,48712,71022,395,1345.0,12.0,200.0,195.0,331.9468889602616,140.0,2.3710492068590114,181.48000841750843,138.0,1.3150725247645538,293.49059779931025,129.0,2.2751209131729477,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,7,24613,18994,3,1327,18385,1771,41,89,14,12.48,1.3525850268505843,2.036188618311327,1494.562445840514,734.0,25691,15.232102486812359,0.7856606534286955,531.1066017177982,676.0,1327,20213,1.3726407397334783,1.902259388565261,1358.2132034355964,714.0,18385,25236,10.993788819875776,0.7525579590509563,499.698484809835,664.0,1771,19470,118,507.5,15.0,90.0,55.0,228.9977392614921,140.0,1.6356981375820863,299.2634212673375,138.0,2.168575516429982,174.13325804630153,129.0,1.3498702174131902,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,8,9092,6023,1,0,6023,0,16,46,11,10.914285714285715,1.4980906524987547,1.9144126210926171,857.6568542494924,448.0,9023,,,0.0,0.0,0,0,1.4980906524987547,1.9144126210926171,857.6568542494924,448.0,6023,9023,,,0.0,0.0,0,0,92,290.0,7.0,40.0,42.5,132.17732027228956,140.0,0.9441237162306397,249.33737340195916,138.0,1.806792560883762,131.7997675576955,129.0,1.0217036244782598,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,9,121609,84389,4,66781,7004,82588,176,720,165,9.694610778443113,1.6722558627309247,4.422229721647832,8062.640656327316,1823.2071067811867,141120,2.0954912325362005,5.130956244656661,9303.486327394767,1813.2071067811867,66781,139939,17.18332381496288,1.642675914898727,2710.4152595828996,1650.0,7004,120352,1.705526226570446,4.228536896345504,7709.498520703584,1823.2071067811867,82588,140856,298,2657.5,35.0,195.0,145.0,533.663062847217,140.0,3.8118790203372646,169.21687607081668,138.0,1.226209246889976,348.5465321838524,129.0,2.701911102200406,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
C:\Users\JackM\40xMBPCNP\40xN1N2N3N4lif\Vehicle_1104.lif,Vehicle_1104,0,Image 1,Vehicle_1104_S1_Image_1,10,16369,9759,2,226,9482,617,39,166,50,6.442477876106195,1.885029203811866,2.0875280524564044,1436.2193000900063,688.0,18396,1.154867256637168,1.0833333333333333,78.0,72.0,226,261,1.9334528580468255,2.0415151829077236,1404.5624458405139,688.0,9482,18333,1.2220421393841168,1.2578347878911125,153.45584412271572,122.0,617,754,139,437.5,11.0,95.0,67.5,258.96902654867256,140.0,1.849778761061947,346.63446530267873,138.0,2.5118439514686863,188.81523500810374,129.0,1.4636839923108818,1.6452975599689468,2.6711263068258813,2.4454093048105885,2.8808469874547313,4.507938656795346,1.4571713220679352,1.8192137888949083,2.487366794709658
