lif_path,lif_name,scene_idx,series_name,base_name,cell_id,cellpose_area_px,cell_area_px,cell_area_mbppdg_px,cell_area_ppkm2_px,num_nuclei,mbp_area_px,pdgfra_area_px,o4_area_px,ppkm2_area_px,morph_all_num_proc,morph_all_num_branch3_px,morph_all_num_branch4_px,morph_all_avg_segment_len_px,morph_all_convexity_ratio,morph_all_max_r_px,morph_all_AUC,morph_all_Imax,morph_all_Rmax_px,morph_all_CriticalValue,morph_mbppdg_num_proc,morph_mbppdg_num_branch3_px,morph_mbppdg_num_branch4_px,morph_mbppdg_avg_segment_len_px,morph_mbppdg_convexity_ratio,morph_mbppdg_max_r_px,morph_mbppdg_AUC,morph_mbppdg_Imax,morph_mbppdg_Rmax_px,morph_mbppdg_CriticalValue,morph_ppkm2_num_proc,morph_ppkm2_num_branch3_px,morph_ppkm2_num_branch4_px,morph_ppkm2_avg_segment_len_px,morph_ppkm2_convexity_ratio,morph_ppkm2_max_r_px,morph_ppkm2_AUC,morph_ppkm2_Imax,morph_ppkm2_Rmax_px,morph_ppkm2_CriticalValue,mbp_mean_in,mbp_mean_bg,mbp_int_ratio,pdg_mean_in,pdg_mean_bg,pdg_int_ratio,o4_mean_in,o4_mean_bg,o4_int_ratio,ppkm2_mean_in,ppkm2_mean_bg,ppkm2_int_ratio,ppkm2_nuc_mean_in,ppkm2_nuc_mean_bg,ppkm2_nuc_int_ratio
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,1,13418,10089,0,10089,1,0,0,0,10089,8,14,5,20.08333333333333,1.1251858459708592,84,147.5,7.0,60.0,40.0,0,0,0,0.0,,0,0.0,0.0,,,8,14,5,20.08333333333333,1.1251858459708592,84,147.5,7.0,60.0,40.0,116.13014173852712,112.0,1.0368762655225636,263.02359004856777,198.0,1.3284019699422616,183.1027852116166,201.0,0.9109591304060528,504.2752502725741,261.0,1.9320890815041156,621.3050511720039,261.0,2.380479123264383
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,2,39209,30712,0,30712,1,0,0,28293,30712,43,138,24,13.586538461538462,1.3160653816097942,177,702.5,14.0,100.0,85.0,0,0,0,0.0,,0,0.0,0.0,,,43,138,24,13.586538461538462,1.3160653816097942,177,702.5,14.0,100.0,85.0,126.93370669445169,112.0,1.133336666914747,237.13981505600415,198.0,1.1976758336161828,320.79820815540484,201.0,1.5960109858477851,504.0302813232613,261.0,1.9311505031542575,825.4061773497177,261.0,3.162475775286275
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,3,55365,30983,21244,25138,1,0,21244,12439,25138,47,194,40,13.251908396946565,1.6583933124616723,198,777.5,16.0,90.0,95.0,28,153,37,10.980392156862743,1.6424872905290906,135,612.5,15.0,70.0,65.0,40,108,20,18.012820512820515,1.818084175352057,196,677.5,13.0,100.0,95.0,122.0732659845722,112.0,1.0899398748622515,748.5926849934099,198.0,3.780771136330353,290.4436751936165,201.0,1.4449934089234653,453.2867378885195,261.0,1.7367307965077374,695.4773226042429,261.0,2.664664071280624
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,4,16003,15252,5344,15023,2,0,5344,4914,15023,11,21,3,23.764705882352946,1.0594676108051404,91,227.5,13.0,70.0,42.5,4,38,19,9.75,1.1504491017964071,61,122.5,6.0,40.0,27.5,11,23,3,22.823529411764707,1.0756173866737668,91,232.5,13.0,70.0,42.5,116.3661159192237,112.0,1.0389831778502117,661.6218188622754,198.0,3.34152433768826,256.1641696560456,201.0,1.2744486052539583,588.4316810910044,261.0,2.2545275137586374,682.381984036488,261.0,2.6144903602930576
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,5,32609,12604,3720,12547,1,0,3720,0,12547,42,127,37,8.709677419354838,2.2157251666137734,135,552.5,9.0,70.0,65.0,10,61,24,7.0,1.406989247311828,77,182.5,8.0,30.0,35.0,40,122,47,8.580645161290322,2.2257910257432054,135,547.5,9.0,70.0,65.0,111.43859092351634,112.0,0.9949874189599672,386.564247311828,198.0,1.9523446833930704,194.91939066962868,201.0,0.9697482122867098,455.9290701364646,261.0,1.7468546748523548,545.0115384615384,261.0,2.0881668140288827
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,6,55298,33745,17157,32380,1,1462,16748,15208,32380,35,110,18,18.55555555555556,1.85663061194251,237,827.5,12.0,190.0,115.0,15,103,19,12.08955223880597,2.031299178178003,234,477.5,5.0,155.0,115.0,35,106,21,18.397435897435894,1.8748919085855469,231,892.5,17.0,110.0,112.5,221.29890560875512,112.0,1.9758830857924563,416.1984714592787,198.0,2.102012482117569,299.896689802456,201.0,1.4920233323505272,470.2383464216921,261.0,1.8016794882057168,630.7777403035413,261.0,2.4167729513545644
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,7,12654,12354,7767,12338,1,0,7767,0,12338,7,13,2,24.454545454545453,1.0626517727051967,89,207.5,9.0,65.0,42.5,16,48,12,12.0,1.322260847173941,79,247.5,9.0,60.0,37.5,7,13,2,24.454545454545453,1.0640298265521153,89,202.5,8.0,60.0,42.5,117.34660838594787,112.0,1.0477375748745346,732.1426548216815,198.0,3.6976901758670784,227.5577950461389,201.0,1.13212833356288,597.0341589768497,261.0,2.287487199145018,734.6187183033657,261.0,2.8146311046105965
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,8,20188,17751,7915,17742,1,0,7915,0,17742,14,34,6,19.2,1.1030927835051547,105,347.5,31.0,80.0,50.0,12,53,12,10.714285714285714,1.300442198357549,86,252.5,10.0,65.0,40.0,14,34,7,19.16,1.1036523503550897,105,347.5,31.0,80.0,50.0,115.53005464480874,112.0,1.0315183450429353,513.9100442198358,198.0,2.595505273837554,222.60064221733987,201.0,1.1074658816783078,511.505267308884,261.0,1.9597902962026208,713.4206611570248,261.0,2.7334124948545013
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,9,33836,22670,9892,21127,1,9892,0,17287,21127,15,85,19,15.48076923076923,1.391883546537274,172,497.5,10.0,60.0,82.5,23,104,28,9.411764705882351,2.3309745248685805,173,412.5,7.0,55.0,82.5,16,62,10,17.29268292682927,1.3767690632839495,170,397.5,5.0,95.0,82.5,254.6551758997169,112.0,2.273706927676044,244.2007498897221,198.0,1.233337120655162,286.5160775976614,201.0,1.425453122376425,511.2880017644464,261.0,1.958957861166461,782.5474613686534,261.0,2.998266135512082
C:\Users\JackM\5C_signalling\ppkm2\N9_20251215_pPKM2.lif,N9_20251215_pPKM2,0,clemastine/7/R16,N9_20251215_pPKM2_S1_clemastine_7_R16,10,10012,8568,0,8568,0,0,0,0,8568,9,25,4,12.666666666666666,1.071311858076564,71,202.5,16.0,60.0,32.5,0,0,0,0.0,,0,0.0,0.0,,,9,25,4,12.666666666666666,1.071311858076564,71,202.5,16.0,60.0,32.5,117.7844304388422,112.0,1.0516467003468055,437.5447012138189,198.0,2.209821723302116,232.7997198879552,201.0,1.158207561631618,456.1862745098039,261.0,1.747840132221471,,261.0,
