calcium_label,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.212158203125,0.0012497169664129615,0.014305845834314823
2,95.0741536738351,0.5538461538461539,0.6708872662857175,26.742437136359513,68.33171653747559,0.009584103804081678,0.4178505802556174,1.067683070898056,70.0,64.0,64.0,0.0,0.5538461538461539,1.0,95.0741536738351,0.7427668255768367,0.7427668255768367,1252.892578125,-0.002614541444927454,0.03552979230880737
3,259.5316833257675,1.0,0.18082553218118846,94.41404163837433,165.1176416873932,0.0025832218883026924,1.4752194005995989,2.5799631513655186,70.0,64.0,64.0,0.0,1.0,1.0,259.5316833257675,2.0275912759825587,2.0275912759825587,504.7952880859375,0.0019930347334593534,0.04265834763646126
4,226.66704392433167,1.0,0.00797226547729224,101.03591167926788,125.63113224506378,0.00011388950681846057,1.5786861199885607,1.9629864413291216,70.0,64.0,64.0,0.0,1.0,1.0,226.66704392433167,1.7708362806588411,1.7708362806588411,727.4058227539062,-0.005423208232969046,0.023554634302854538
5,116.44146345555782,0.9538461538461539,0.0,16.121634230017662,100.31982922554016,0.0,0.25190053484402597,1.567497331649065,70.0,64.0,64.0,0.0,0.9538461538461539,1.0,116.44146345555782,0.9096989332465455,0.9096989332465455,671.0133056640625,-0.0028047298546880484,0.024307727813720703
6,0.01905969064682722,0.0,0.4825789650785737,0.01905969064682722,0.0,0.006893985215408196,0.0002978076663566753,0.0,70.0,64.0,64.0,0.0,0.0,0.0,0.01905969064682722,0.00014890383317833766,0.00014890383317833766,1189.1480712890625,-0.0034679733216762543,0.01575295254588127
7,0.7377217913744971,0.0,1.0624018907328718,0.03294373955577612,0.704778051818721,0.015177169867612455,0.0005147459305590019,0.011012157059667516,70.0,64.0,64.0,0.0,0.0,0.0,0.7377217913744971,0.005763451495113259,0.005763451495113259,1030.9805908203125,0.003107306780293584,0.03408234938979149
8,0.0,0.0,0.28280216502025723,0.0,0.0,0.004040030928860817,0.0,0.0,70.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1547.5958251953125,-0.0010880189947783947,0.021451370790600777
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.3553466796875,-0.010303584858775139,0.03285982087254524
10,0.08230445464141667,0.0,0.47669854733976535,0.0,0.08230445464141667,0.006809979247710933,0.0,0.0012860071037721355,70.0,64.0,64.0,0.0,0.0,0.0,0.08230445464141667,0.0006430035518860677,0.0006430035518860677,1218.5028076171875,0.00035308307269588113,0.019685879349708557
