cell_id,crop_file_name,original_image_file_name,original_image_stem,field_of_view,bio_rep,treatment_blinded,treatment,date_code,prefix,scene_index,cell_index,mbp_cell_source_path,mbp_soma_source_path,c3_cell_source_path,mbp_cell_seg_path,mbp_soma_seg_path,c3_cell_seg_path,qc_image_path,thesis_image_path,mbp_total_area_px,mbp_soma_area_px,mbp_soma_area_within_total_px,soma_to_total_ratio,process_to_total_ratio,mbp_process_area_px,mbp_process_area_subtract_px,c3_total_area_px,nanofiber_total_area_px,mbp_c3_colocalized_area_px,mbp_nanofiber_colocalized_area_px,mbp_c3_soma_colocalized_area_px,mbp_nanofiber_soma_colocalized_area_px,mbp_c3_process_colocalized_area_px,mbp_nanofiber_process_colocalized_area_px,pct_mbp_colocalized,pct_mbp_nanofiber_colocalized,pct_process_colocalized,pct_process_nanofiber_colocalized
X0404_0_cell02,X0404_0_cell02_cell_c2.tif,X0404_0.tif,X0404_0,X0404_0,n3,X,pranlukast,0404,X,0,2,C:\Users\JackM\Desktop\out\X0404_0_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\X0404_0_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\X0404_0_cell02_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_0_cell02_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_0_cell02_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_0_cell02_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X0404_0_cell02__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X0404_0_cell02__thesis.png,11279,1438,1436,0.12749357212518841,0.8726837485592694,9843,9841,110274,110274,3164,3164,319,319,2845,2845,28.05213228123061,28.05213228123061,28.90378949507264,28.90378949507264
X0404_1_cell01,X0404_1_cell01_cell_c2.tif,X0404_1.tif,X0404_1,X0404_1,n3,X,pranlukast,0404,X,1,1,C:\Users\JackM\Desktop\out\X0404_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\X0404_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\X0404_1_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_1_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_1_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_1_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X0404_1_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X0404_1_cell01__thesis.png,168272,35584,35483,0.21146714842635733,0.7891330702671865,132789,132688,768323,768323,92229,92229,13652,13652,78577,78577,54.809475135494914,54.809475135494914,59.17432919895474,59.17432919895474
X0404_2_cell01,X0404_2_cell01_cell_c2.tif,X0404_2.tif,X0404_2,X0404_2,n3,X,pranlukast,0404,X,2,1,C:\Users\JackM\Desktop\out\X0404_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\X0404_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\X0404_2_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_2_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X0404_2_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X0404_2_cell01__thesis.png,87271,37594,37494,0.43077310905111665,0.5703727469606169,49777,49677,218010,218010,27904,27904,10347,10347,17557,17557,31.973966151413414,31.973966151413414,35.27131004279085,35.27131004279085
X0404_2_cell02,X0404_2_cell02_cell_c2.tif,X0404_2.tif,X0404_2,X0404_2,n3,X,pranlukast,0404,X,2,2,C:\Users\JackM\Desktop\out\X0404_2_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\X0404_2_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\X0404_2_cell02_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell02_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell02_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_2_cell02_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X0404_2_cell02__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X0404_2_cell02__thesis.png,43060,21444,21176,0.4980027868091036,0.5082210868555503,21884,21616,95198,95198,21435,21435,8404,8404,13031,13031,49.77937761263354,49.77937761263354,59.54578687625662,59.54578687625662
X0404_2_cell03,X0404_2_cell03_cell_c2.tif,X0404_2.tif,X0404_2,X0404_2,n3,X,pranlukast,0404,X,2,3,C:\Users\JackM\Desktop\out\X0404_2_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\X0404_2_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\X0404_2_cell03_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell03_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell03_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_2_cell03_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\X0404_2_cell03__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\X0404_2_cell03__thesis.png,136522,43282,43210,0.3170331521659513,0.6834942353613337,93312,93240,274026,274026,54069,54069,11750,11750,42319,42319,39.604605851071625,39.604605851071625,45.35215192043896,45.35215192043896
Y0404_0_cell01,Y0404_0_cell01_cell_c2.tif,Y0404_0.tif,Y0404_0,Y0404_0,n3,Y,vehicle,0404,Y,0,1,C:\Users\JackM\Desktop\out\Y0404_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\Y0404_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\Y0404_0_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_0_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_0_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_0_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\Y0404_0_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\Y0404_0_cell01__thesis.png,314039,62529,62498,0.1991122121774684,0.8009865016765434,251541,251510,726276,726276,168131,168131,42381,42381,125750,125750,53.53825480274743,53.53825480274743,49.99185023515053,49.99185023515053
Y0404_1_cell01,Y0404_1_cell01_cell_c2.tif,Y0404_1.tif,Y0404_1,Y0404_1,n3,Y,vehicle,0404,Y,1,1,C:\Users\JackM\Desktop\out\Y0404_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\Y0404_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\Y0404_1_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_1_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\Y0404_1_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\Y0404_1_cell01__thesis.png,123845,46649,46599,0.3766724534700634,0.6237312769994752,77246,77196,238816,238816,61147,61147,30298,30298,30849,30849,49.37381404174573,49.37381404174573,39.936048468529115,39.936048468529115
Y0404_1_cell02,Y0404_1_cell02_cell_c2.tif,Y0404_1.tif,Y0404_1,Y0404_1,n3,Y,vehicle,0404,Y,1,2,C:\Users\JackM\Desktop\out\Y0404_1_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\Y0404_1_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\Y0404_1_cell02_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell02_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell02_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_1_cell02_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\Y0404_1_cell02__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\Y0404_1_cell02__thesis.png,214043,69517,69098,0.32478053475236285,0.6771770158332672,144945,144526,202111,202111,88563,88563,33244,33244,55319,55319,41.37626551674196,41.37626551674196,38.16551105591776,38.16551105591776
Y0404_1_cell03,Y0404_1_cell03_cell_c2.tif,Y0404_1.tif,Y0404_1,Y0404_1,n3,Y,vehicle,0404,Y,1,3,C:\Users\JackM\Desktop\out\Y0404_1_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\Y0404_1_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\Y0404_1_cell03_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell03_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell03_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_1_cell03_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\Y0404_1_cell03__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\Y0404_1_cell03__thesis.png,173483,23389,23378,0.13482012646772307,0.8652432803214147,150105,150094,178660,178660,105238,105238,18612,18612,86626,86626,60.66185159352789,60.66185159352789,57.71026947803204,57.71026947803204
Y0404_2_cell01,Y0404_2_cell01_cell_c2.tif,Y0404_2.tif,Y0404_2,Y0404_2,n3,Y,vehicle,0404,Y,2,1,C:\Users\JackM\Desktop\out\Y0404_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\Y0404_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\Y0404_2_cell01_cell_c3.tif,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_2_cell01_cell_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_2_cell01_soma_c2__mbp_seg.tiff,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_2_cell01_cell_c3__c3_seg.tiff,C:\Users\JackM\src2\ensheathment\quantification\qc\Y0404_2_cell01__qc.png,C:\Users\JackM\src2\ensheathment\quantification\thesis\Y0404_2_cell01__thesis.png,503410,46201,46084,0.09177608708607299,0.9084563278441032,457326,457209,811353,811353,186999,186999,17091,17091,169908,169908,37.1464611350589,37.1464611350589,37.15249078337991,37.15249078337991
