marker,bio_rep,prefix,date_code,scene,cell_index,region,channel,source_path,ilp_path,output_path
c3,n2,Y,2703,1,1,cell,c3,C:\Users\JackM\Desktop\out\Y2703_1_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Y2703_1_cell01_cell_c3__c3_seg.tiff
mbp,n2,Y,2703,1,1,soma,c2,C:\Users\JackM\Desktop\out\Y2703_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_1_cell01_soma_c2__mbp_seg.tiff
mbp,n2,Y,2703,2,1,cell,c2,C:\Users\JackM\Desktop\out\Y2703_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_2_cell01_cell_c2__mbp_seg.tiff
c3,n2,Y,2703,2,1,cell,c3,C:\Users\JackM\Desktop\out\Y2703_2_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Y2703_2_cell01_cell_c3__c3_seg.tiff
mbp,n2,Y,2703,2,1,soma,c2,C:\Users\JackM\Desktop\out\Y2703_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_2_cell01_soma_c2__mbp_seg.tiff
mbp,n2,Y,2703,2,2,cell,c2,C:\Users\JackM\Desktop\out\Y2703_2_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_2_cell02_cell_c2__mbp_seg.tiff
c3,n2,Y,2703,2,2,cell,c3,C:\Users\JackM\Desktop\out\Y2703_2_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Y2703_2_cell02_cell_c3__c3_seg.tiff
mbp,n2,Y,2703,2,2,soma,c2,C:\Users\JackM\Desktop\out\Y2703_2_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_2_cell02_soma_c2__mbp_seg.tiff
mbp,n2,Z,2703,0,1,cell,c2,C:\Users\JackM\Desktop\out\Z2703_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_0_cell01_cell_c2__mbp_seg.tiff
c3,n2,Z,2703,0,1,cell,c3,C:\Users\JackM\Desktop\out\Z2703_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Z2703_0_cell01_cell_c3__c3_seg.tiff
mbp,n2,Z,2703,0,1,soma,c2,C:\Users\JackM\Desktop\out\Z2703_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_0_cell01_soma_c2__mbp_seg.tiff
mbp,n2,Z,2703,1,1,cell,c2,C:\Users\JackM\Desktop\out\Z2703_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_1_cell01_cell_c2__mbp_seg.tiff
c3,n2,Z,2703,1,1,cell,c3,C:\Users\JackM\Desktop\out\Z2703_1_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Z2703_1_cell01_cell_c3__c3_seg.tiff
mbp,n2,Z,2703,1,1,soma,c2,C:\Users\JackM\Desktop\out\Z2703_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_1_cell01_soma_c2__mbp_seg.tiff
mbp,n2,Z,2703,1,2,cell,c2,C:\Users\JackM\Desktop\out\Z2703_1_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_1_cell02_cell_c2__mbp_seg.tiff
c3,n2,Z,2703,1,2,cell,c3,C:\Users\JackM\Desktop\out\Z2703_1_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Z2703_1_cell02_cell_c3__c3_seg.tiff
mbp,n2,Z,2703,1,2,soma,c2,C:\Users\JackM\Desktop\out\Z2703_1_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_1_cell02_soma_c2__mbp_seg.tiff
mbp,n2,Z,2703,1,3,cell,c2,C:\Users\JackM\Desktop\out\Z2703_1_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_1_cell03_cell_c2__mbp_seg.tiff
c3,n2,Z,2703,1,3,cell,c3,C:\Users\JackM\Desktop\out\Z2703_1_cell03_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Z2703_1_cell03_cell_c3__c3_seg.tiff
mbp,n2,Z,2703,1,3,soma,c2,C:\Users\JackM\Desktop\out\Z2703_1_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_1_cell03_soma_c2__mbp_seg.tiff
mbp,n2,Z,2703,2,1,cell,c2,C:\Users\JackM\Desktop\out\Z2703_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_2_cell01_cell_c2__mbp_seg.tiff
c3,n2,Z,2703,2,1,cell,c3,C:\Users\JackM\Desktop\out\Z2703_2_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Z2703_2_cell01_cell_c3__c3_seg.tiff
mbp,n2,Z,2703,2,1,soma,c2,C:\Users\JackM\Desktop\out\Z2703_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Z2703_2_cell01_soma_c2__mbp_seg.tiff
mbp,n3,X,0404,0,1,cell,c2,C:\Users\JackM\Desktop\out\X0404_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_0_cell01_cell_c2__mbp_seg.tiff
c3,n3,X,0404,0,1,cell,c3,C:\Users\JackM\Desktop\out\X0404_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_0_cell01_cell_c3__c3_seg.tiff
mbp,n3,X,0404,0,1,soma,c2,C:\Users\JackM\Desktop\out\X0404_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_0_cell01_soma_c2__mbp_seg.tiff
mbp,n3,X,0404,0,2,cell,c2,C:\Users\JackM\Desktop\out\X0404_0_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_0_cell02_cell_c2__mbp_seg.tiff
c3,n3,X,0404,0,2,cell,c3,C:\Users\JackM\Desktop\out\X0404_0_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_0_cell02_cell_c3__c3_seg.tiff
mbp,n3,X,0404,0,2,soma,c2,C:\Users\JackM\Desktop\out\X0404_0_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_0_cell02_soma_c2__mbp_seg.tiff
mbp,n3,X,0404,1,1,cell,c2,C:\Users\JackM\Desktop\out\X0404_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_1_cell01_cell_c2__mbp_seg.tiff
c3,n3,X,0404,1,1,cell,c3,C:\Users\JackM\Desktop\out\X0404_1_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_1_cell01_cell_c3__c3_seg.tiff
mbp,n3,X,0404,1,1,soma,c2,C:\Users\JackM\Desktop\out\X0404_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_1_cell01_soma_c2__mbp_seg.tiff
mbp,n3,X,0404,2,1,cell,c2,C:\Users\JackM\Desktop\out\X0404_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell01_cell_c2__mbp_seg.tiff
c3,n3,X,0404,2,1,cell,c3,C:\Users\JackM\Desktop\out\X0404_2_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_2_cell01_cell_c3__c3_seg.tiff
mbp,n3,X,0404,2,1,soma,c2,C:\Users\JackM\Desktop\out\X0404_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell01_soma_c2__mbp_seg.tiff
mbp,n3,X,0404,2,2,cell,c2,C:\Users\JackM\Desktop\out\X0404_2_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell02_cell_c2__mbp_seg.tiff
c3,n3,X,0404,2,2,cell,c3,C:\Users\JackM\Desktop\out\X0404_2_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_2_cell02_cell_c3__c3_seg.tiff
mbp,n3,X,0404,2,2,soma,c2,C:\Users\JackM\Desktop\out\X0404_2_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell02_soma_c2__mbp_seg.tiff
mbp,n3,X,0404,2,3,cell,c2,C:\Users\JackM\Desktop\out\X0404_2_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell03_cell_c2__mbp_seg.tiff
c3,n3,X,0404,2,3,cell,c3,C:\Users\JackM\Desktop\out\X0404_2_cell03_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\X0404_2_cell03_cell_c3__c3_seg.tiff
mbp,n3,X,0404,2,3,soma,c2,C:\Users\JackM\Desktop\out\X0404_2_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\X0404_2_cell03_soma_c2__mbp_seg.tiff
mbp,n3,Y,0404,0,1,cell,c2,C:\Users\JackM\Desktop\out\Y0404_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_0_cell01_cell_c2__mbp_seg.tiff
c3,n3,Y,0404,0,1,cell,c3,C:\Users\JackM\Desktop\out\Y0404_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_0_cell01_cell_c3__c3_seg.tiff
mbp,n3,Y,0404,0,1,soma,c2,C:\Users\JackM\Desktop\out\Y0404_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_0_cell01_soma_c2__mbp_seg.tiff
mbp,n3,Y,0404,1,1,cell,c2,C:\Users\JackM\Desktop\out\Y0404_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell01_cell_c2__mbp_seg.tiff
c3,n3,Y,0404,1,1,cell,c3,C:\Users\JackM\Desktop\out\Y0404_1_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_1_cell01_cell_c3__c3_seg.tiff
mbp,n3,Y,0404,1,1,soma,c2,C:\Users\JackM\Desktop\out\Y0404_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell01_soma_c2__mbp_seg.tiff
mbp,n3,Y,0404,1,2,cell,c2,C:\Users\JackM\Desktop\out\Y0404_1_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell02_cell_c2__mbp_seg.tiff
c3,n3,Y,0404,1,2,cell,c3,C:\Users\JackM\Desktop\out\Y0404_1_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_1_cell02_cell_c3__c3_seg.tiff
mbp,n3,Y,0404,1,2,soma,c2,C:\Users\JackM\Desktop\out\Y0404_1_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell02_soma_c2__mbp_seg.tiff
mbp,n3,Y,0404,1,3,cell,c2,C:\Users\JackM\Desktop\out\Y0404_1_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell03_cell_c2__mbp_seg.tiff
c3,n3,Y,0404,1,3,cell,c3,C:\Users\JackM\Desktop\out\Y0404_1_cell03_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_1_cell03_cell_c3__c3_seg.tiff
mbp,n3,Y,0404,1,3,soma,c2,C:\Users\JackM\Desktop\out\Y0404_1_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_1_cell03_soma_c2__mbp_seg.tiff
mbp,n3,Y,0404,2,1,cell,c2,C:\Users\JackM\Desktop\out\Y0404_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_2_cell01_cell_c2__mbp_seg.tiff
c3,n3,Y,0404,2,1,cell,c3,C:\Users\JackM\Desktop\out\Y0404_2_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_2_cell01_cell_c3__c3_seg.tiff
mbp,n3,Y,0404,2,1,soma,c2,C:\Users\JackM\Desktop\out\Y0404_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_2_cell01_soma_c2__mbp_seg.tiff
mbp,n3,Y,0404,2,2,cell,c2,C:\Users\JackM\Desktop\out\Y0404_2_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_2_cell02_cell_c2__mbp_seg.tiff
c3,n3,Y,0404,2,2,cell,c3,C:\Users\JackM\Desktop\out\Y0404_2_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Y0404_2_cell02_cell_c3__c3_seg.tiff
mbp,n3,Y,0404,2,2,soma,c2,C:\Users\JackM\Desktop\out\Y0404_2_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Y0404_2_cell02_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,0,1,cell,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell01_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,0,1,cell,c3,C:\Users\JackM\Desktop\out\Z0404_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_0_cell01_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,0,1,soma,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell01_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,0,2,cell,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell02_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,0,2,cell,c3,C:\Users\JackM\Desktop\out\Z0404_0_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_0_cell02_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,0,2,soma,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell02_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,0,3,cell,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell03_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,0,3,cell,c3,C:\Users\JackM\Desktop\out\Z0404_0_cell03_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_0_cell03_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,0,3,soma,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell03_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,0,4,cell,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell04_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell04_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,0,4,cell,c3,C:\Users\JackM\Desktop\out\Z0404_0_cell04_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_0_cell04_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,0,4,soma,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell04_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell04_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,0,5,cell,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell05_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell05_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,0,5,cell,c3,C:\Users\JackM\Desktop\out\Z0404_0_cell05_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_0_cell05_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,0,5,soma,c2,C:\Users\JackM\Desktop\out\Z0404_0_cell05_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_0_cell05_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,1,1,cell,c2,C:\Users\JackM\Desktop\out\Z0404_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_1_cell01_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,1,1,cell,c3,C:\Users\JackM\Desktop\out\Z0404_1_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_1_cell01_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,1,1,soma,c2,C:\Users\JackM\Desktop\out\Z0404_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_1_cell01_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,51,1,cell,c2,C:\Users\JackM\Desktop\out\Z0404_51_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_51_cell01_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,51,1,cell,c3,C:\Users\JackM\Desktop\out\Z0404_51_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_51_cell01_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,51,1,soma,c2,C:\Users\JackM\Desktop\out\Z0404_51_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_51_cell01_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,52,1,cell,c2,C:\Users\JackM\Desktop\out\Z0404_52_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_52_cell01_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,52,1,cell,c3,C:\Users\JackM\Desktop\out\Z0404_52_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_52_cell01_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,52,1,soma,c2,C:\Users\JackM\Desktop\out\Z0404_52_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_52_cell01_soma_c2__mbp_seg.tiff
mbp,n3,Z,0404,52,2,cell,c2,C:\Users\JackM\Desktop\out\Z0404_52_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_52_cell02_cell_c2__mbp_seg.tiff
c3,n3,Z,0404,52,2,cell,c3,C:\Users\JackM\Desktop\out\Z0404_52_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n3\Z0404_52_cell02_cell_c3__c3_seg.tiff
mbp,n3,Z,0404,52,2,soma,c2,C:\Users\JackM\Desktop\out\Z0404_52_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n3\n3.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n3\Z0404_52_cell02_soma_c2__mbp_seg.tiff
mbp,n4,X,1605,0,1,cell,c2,C:\Users\JackM\Desktop\out\X1605_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n4\n4.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n4\X1605_0_cell01_cell_c2__mbp_seg.tiff
c3,n4,X,1605,0,1,cell,c3,C:\Users\JackM\Desktop\out\X1605_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n4\n4.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n4\X1605_0_cell01_cell_c3__c3_seg.tiff
mbp,n4,X,1605,0,1,soma,c2,C:\Users\JackM\Desktop\out\X1605_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n4\n4.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n4\X1605_0_cell01_soma_c2__mbp_seg.tiff
