marker,bio_rep,prefix,date_code,scene,cell_index,region,channel,source_path,ilp_path,output_path
mbp,n2,X,2703,4,1,soma,c2,C:\Users\JackM\Desktop\out\X2703_4_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_4_cell01_soma_c2__mbp_seg.tiff
mbp,n2,X,2703,5,1,cell,c2,C:\Users\JackM\Desktop\out\X2703_5_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_5_cell01_cell_c2__mbp_seg.tiff
c3,n2,X,2703,5,1,cell,c3,C:\Users\JackM\Desktop\out\X2703_5_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\X2703_5_cell01_cell_c3__c3_seg.tiff
mbp,n2,X,2703,5,1,soma,c2,C:\Users\JackM\Desktop\out\X2703_5_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_5_cell01_soma_c2__mbp_seg.tiff
mbp,n2,Y,2703,0,1,cell,c2,C:\Users\JackM\Desktop\out\Y2703_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_0_cell01_cell_c2__mbp_seg.tiff
c3,n2,Y,2703,0,1,cell,c3,C:\Users\JackM\Desktop\out\Y2703_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Y2703_0_cell01_cell_c3__c3_seg.tiff
mbp,n2,Y,2703,0,1,soma,c2,C:\Users\JackM\Desktop\out\Y2703_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_0_cell01_soma_c2__mbp_seg.tiff
mbp,n2,Y,2703,0,2,cell,c2,C:\Users\JackM\Desktop\out\Y2703_0_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_0_cell02_cell_c2__mbp_seg.tiff
c3,n2,Y,2703,0,2,cell,c3,C:\Users\JackM\Desktop\out\Y2703_0_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Y2703_0_cell02_cell_c3__c3_seg.tiff
mbp,n2,Y,2703,0,2,soma,c2,C:\Users\JackM\Desktop\out\Y2703_0_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_0_cell02_soma_c2__mbp_seg.tiff
mbp,n2,Y,2703,0,3,cell,c2,C:\Users\JackM\Desktop\out\Y2703_0_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_0_cell03_cell_c2__mbp_seg.tiff
c3,n2,Y,2703,0,3,cell,c3,C:\Users\JackM\Desktop\out\Y2703_0_cell03_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\Y2703_0_cell03_cell_c3__c3_seg.tiff
mbp,n2,Y,2703,0,3,soma,c2,C:\Users\JackM\Desktop\out\Y2703_0_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_0_cell03_soma_c2__mbp_seg.tiff
mbp,n2,Y,2703,1,1,cell,c2,C:\Users\JackM\Desktop\out\Y2703_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\Y2703_1_cell01_cell_c2__mbp_seg.tiff
