lif_path,lif_name,scene_idx,series_name,base_name,cell_id,cellpose_area_px,cell_area_px,cell_area_mbppdg_px,cell_area_ppkm2_px,num_nuclei,mbp_area_px,pdgfra_area_px,o4_area_px,ppkm2_area_px,morph_all_num_proc,morph_all_num_branch3_px,morph_all_num_branch4_px,morph_all_avg_segment_len_px,morph_all_convexity_ratio,morph_all_max_r_px,morph_all_AUC,morph_all_Imax,morph_all_Rmax_px,morph_all_CriticalValue,morph_mbppdg_num_proc,morph_mbppdg_num_branch3_px,morph_mbppdg_num_branch4_px,morph_mbppdg_avg_segment_len_px,morph_mbppdg_convexity_ratio,morph_mbppdg_max_r_px,morph_mbppdg_AUC,morph_mbppdg_Imax,morph_mbppdg_Rmax_px,morph_mbppdg_CriticalValue,morph_ppkm2_num_proc,morph_ppkm2_num_branch3_px,morph_ppkm2_num_branch4_px,morph_ppkm2_avg_segment_len_px,morph_ppkm2_convexity_ratio,morph_ppkm2_max_r_px,morph_ppkm2_AUC,morph_ppkm2_Imax,morph_ppkm2_Rmax_px,morph_ppkm2_CriticalValue,mbp_mean_in,mbp_mean_bg,mbp_int_ratio,pdg_mean_in,pdg_mean_bg,pdg_int_ratio,o4_mean_in,o4_mean_bg,o4_int_ratio,ppkm2_mean_in,ppkm2_mean_bg,ppkm2_int_ratio,ppkm2_nuc_mean_in,ppkm2_nuc_mean_bg,ppkm2_nuc_int_ratio
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,1,38539,30001,15722,28815,2,4673,11896,2096,28815,30,160,35,12.74,1.6582113929535682,236,592.5,8.0,75.0,115.0,39,179,48,9.074380165289256,2.27051265742272,375,602.5,4.0,40.0,189.43661971830983,29,129,24,13.158536585365852,1.7140031233732431,237,657.5,8.0,130.0,115.0,2844.7883586561097,1928.0,1.4755126341577331,4578.205447209146,2391.0,1.914765975411604,9289.727579556413,7028.0,1.3218166732436558,7280.79890670311,2901.0,2.509754879939025,8254.188211263496,2901.0,2.8452906622762826
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,3,32460,22517,3267,22200,1,3267,0,1427,22200,45,235,52,9.33793103448276,1.2091752897810544,116,382.5,12.0,90.0,55.0,13,83,33,5.238095238095238,1.4796449341903888,62,187.5,9.0,35.0,27.5,51,222,46,9.41726618705036,1.2264414414414415,116,407.5,12.0,90.0,55.0,2843.443220079584,1928.0,1.474814948174058,2530.464227028468,2391.0,1.0583288276990663,9918.3728100911,7028.0,1.4112653400812605,5811.356264155971,2901.0,2.003225185851765,5662.793065750429,2901.0,1.9520141557223127
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,4,17538,9609,3386,6283,1,3386,0,59,6283,42,176,49,6.3247863247863245,1.5949630554688312,146,507.5,8.0,25.0,70.0,10,39,4,7.0,1.1910809214412286,59,127.5,8.0,45.0,27.5,39,123,41,6.325581395348837,2.439280598440236,146,427.5,6.0,30.0,70.0,2740.9781453041937,1928.0,1.4216691625021751,2596.465605161828,2391.0,1.0859329172571424,8588.677966101695,7028.0,1.2220657322284711,4981.702258299511,2901.0,1.7172362145120683,4713.956879168605,2901.0,1.6249420472832146
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,5,15290,2958,0,2958,0,0,0,0,2958,9,34,4,10.48,3.0659229208924947,98,217.5,8.0,40.0,42.66666666666666,0,0,0,0.0,,0,0.0,0.0,,,9,34,4,10.48,3.0659229208924947,98,217.5,8.0,40.0,42.66666666666666,2300.8782961460447,1928.0,1.193401605884878,2802.469574036511,2391.0,1.1720909970876248,9795.77079107505,7028.0,1.393820545115972,4851.557471264367,2901.0,1.6723741714113642,,2901.0,
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,6,27635,24880,1351,24880,0,507,1036,490,24880,20,91,25,13.413793103448276,1.0784163987138264,128,322.5,12.0,95.0,62.5,5,3,2,26.25,5.168763878608438,166,67.5,2.0,10.0,111.15384615384616,20,91,25,13.413793103448276,1.0784163987138264,128,322.5,12.0,95.0,62.5,2812.5483234714,1928.0,1.4587906242071578,3569.8629343629345,2391.0,1.4930417960530884,9912.822448979592,7028.0,1.4104755903499704,6904.148754019293,2901.0,2.379920287493724,,2901.0,
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,7,16018,12125,10860,9243,0,0,10860,0,9243,18,97,20,10.466666666666669,1.2415670103092784,92,267.5,8.0,65.0,42.5,23,118,13,9.61111111111111,1.346316758747698,94,402.5,15.0,65.0,45.0,11,55,21,11.054054054054054,1.409282700421941,94,277.5,9.0,55.0,45.0,2081.917443298969,1928.0,1.0798326988065192,4352.139502762431,2391.0,1.820217274262832,8112.207010309278,7028.0,1.1542696372096295,5661.776659793814,2901.0,1.9516637917248585,,2901.0,
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,8,43029,25194,2996,23758,1,2996,0,801,23758,27,147,37,12.901960784313726,1.6909581646423752,162,592.5,13.0,85.0,77.5,6,12,9,13.1,1.1735647530040054,51,107.5,8.0,40.0,22.5,36,171,34,11.666666666666666,1.7931644077784326,164,617.5,12.0,85.0,80.0,2684.15520694259,1928.0,1.3921966840988538,2555.3435738667936,2391.0,1.0687342425206163,8962.71402550091,7028.0,1.275286571642133,5023.673453996983,2901.0,1.7317040517052682,5424.752778283841,2901.0,1.869959592652134
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,9,19519,19486,5851,19486,1,3031,3886,12445,19486,4,6,0,39.2,1.0189366724828082,104,312.5,36.0,80.0,50.0,10,30,2,13.043478260869565,1.2213296872329515,66,172.5,9.0,50.0,30.0,4,6,0,39.2,1.0189366724828082,104,312.5,36.0,80.0,50.0,2762.920818211812,1928.0,1.43305021691484,4653.826814204838,2391.0,1.946393481474211,12031.274969867416,7028.0,1.7119059433505146,7816.397362208765,2901.0,2.6943803385759275,7562.54011579818,2901.0,2.606873531815988
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,10,30354,16123,0,16123,0,0,0,0,16123,33,204,65,7.343065693430657,1.478881101531973,135,517.5,11.0,65.0,65.0,0,0,0,0.0,,0,0.0,0.0,,,33,204,65,7.343065693430657,1.478881101531973,135,517.5,11.0,65.0,65.0,2144.5652173913045,1928.0,1.112326357568104,2918.216274886808,2391.0,1.2205003240848211,8805.150654344725,7028.0,1.2528671961219016,5633.857780810023,2901.0,1.9420399106549544,,2901.0,
E:\N7_20251020_PKM2.lif,N7_20251020_PKM2,0,vehicle/5/R21,N7_20251020_PKM2_S1_vehicle_5_R21,11,29876,27133,19695,25934,1,3833,17150,149,25934,16,77,17,18.11627906976744,1.22463420926547,153,352.5,11.0,95.0,75.0,40,241,75,8.973684210526315,1.5006854531607008,156,675.0,18.0,105.0,75.0,16,67,20,16.6,1.2080280712578082,149,352.5,9.0,110.0,72.5,2788.169579963475,1928.0,1.446146047698898,5872.2952769679305,2391.0,2.4559996976026475,10894.395973154362,7028.0,1.550141715019118,11062.46010393248,2901.0,3.813326474985343,13035.63439194423,2901.0,4.493496860373743
