lif_path,lif_name,scene_idx,series_name,base_name,cell_id,cellpose_area_px,cell_area_px,cell_area_mbppdg_px,cell_area_ppkm2_px,num_nuclei,mbp_area_px,pdgfra_area_px,o4_area_px,ppkm2_area_px,morph_all_num_proc,morph_all_num_branch3_px,morph_all_num_branch4_px,morph_all_avg_segment_len_px,morph_all_convexity_ratio,morph_all_max_r_px,morph_all_AUC,morph_all_Imax,morph_all_Rmax_px,morph_all_CriticalValue,morph_mbppdg_num_proc,morph_mbppdg_num_branch3_px,morph_mbppdg_num_branch4_px,morph_mbppdg_avg_segment_len_px,morph_mbppdg_convexity_ratio,morph_mbppdg_max_r_px,morph_mbppdg_AUC,morph_mbppdg_Imax,morph_mbppdg_Rmax_px,morph_mbppdg_CriticalValue,morph_ppkm2_num_proc,morph_ppkm2_num_branch3_px,morph_ppkm2_num_branch4_px,morph_ppkm2_avg_segment_len_px,morph_ppkm2_convexity_ratio,morph_ppkm2_max_r_px,morph_ppkm2_AUC,morph_ppkm2_Imax,morph_ppkm2_Rmax_px,morph_ppkm2_CriticalValue,mbp_mean_in,mbp_mean_bg,mbp_int_ratio,pdg_mean_in,pdg_mean_bg,pdg_int_ratio,o4_mean_in,o4_mean_bg,o4_int_ratio,ppkm2_mean_in,ppkm2_mean_bg,ppkm2_int_ratio,ppkm2_nuc_mean_in,ppkm2_nuc_mean_bg,ppkm2_nuc_int_ratio
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,1,53480,35896,35791,22772,0,35791,0,40333,22772,34,124,22,17.926829268292682,1.466152217517272,180,657.5,15.0,115.0,87.5,36,126,22,17.698795180722893,1.4704534659551285,180,687.5,10.0,95.0,87.5,16,67,10,21.25531914893617,1.7593535921306869,182,597.5,13.0,60.0,87.5,592.2914699226062,115.0,5.150360608022663,205.1773456652552,196.0,1.0468231921696691,423.3412085992823,204.0,2.0752020029376586,255.03203699576557,167.0,1.5271379460824284,,167.0,
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,2,4041,4041,4041,3580,0,0,4041,919,3580,2,0,0,22.0,1.0232615689185844,49,87.5,9.0,40.0,22.5,2,0,0,22.0,1.0232615689185844,49,87.5,9.0,40.0,22.5,4,6,0,21.0,1.127653631284916,52,117.5,12.0,35.0,22.5,148.25167037861917,115.0,1.2891449598140796,963.678297451126,196.0,4.916726007403704,267.3264417845484,204.0,1.3104237342379823,347.5887156644395,167.0,2.081369554876883,,167.0,
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,3,10425,9307,9300,5512,1,0,9300,0,5512,8,42,12,14.869565217391305,1.1460191253894918,91,247.5,10.0,60.0,42.5,8,38,15,16.36,1.1468817204301076,91,247.5,10.0,60.0,42.5,16,62,19,8.511111111111111,1.3125907111756168,66,212.5,22.0,45.0,30.0,115.88159449876436,115.0,1.00766603911969,1030.3344086021505,196.0,5.256808207153829,191.17653379176963,204.0,0.9371398715282824,291.84022778553776,167.0,1.7475462741648968,344.2043768545994,167.0,2.061104053021553
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,4,42024,14486,11718,11414,1,11718,0,1137,11414,41,132,32,9.857142857142858,2.274057710893276,170,612.5,14.0,65.0,82.5,22,87,18,12.185185185185183,2.385219320703192,153,492.5,11.0,65.0,72.5,36,92,28,9.58108108108108,2.4665323287191168,168,557.5,14.0,30.0,80.0,301.23297491039426,115.0,2.619417173133863,228.23325969901973,196.0,1.1644554066276518,265.9254079254079,204.0,1.30355592120298,256.7174513323209,167.0,1.5372302474989274,274.12597258243795,167.0,1.6414728897151971
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,5,31661,20055,19516,14421,2,19516,0,23120,14421,21,67,9,16.21818181818182,1.567888307155323,124,542.5,16.0,85.0,60.0,24,78,16,13.96774193548387,1.607757737241238,124,552.5,13.0,85.0,60.0,24,131,38,10.080459770114942,1.736287358712988,119,557.5,18.0,70.0,57.5,316.3722586595614,115.0,2.7510631187787946,223.4886063325854,196.0,1.1402479914927826,324.7753618647785,204.0,1.5920360875724435,299.10675641984545,167.0,1.7910584216757213,344.3182503770739,167.0,2.06178593040164
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,6,36300,17355,10446,12095,1,0,10446,0,12095,18,101,14,13.0,1.5890521463555172,198,452.5,7.0,130.0,97.08333333333331,19,56,15,11.79591836734694,1.730040206777714,172,412.5,5.0,45.0,84.51612903225806,15,64,18,13.46938775510204,1.938238941711451,167,420.0,9.0,50.0,78.88888888888889,122.81803514837225,115.0,1.0679829143336717,587.8887612483247,196.0,2.999432455348596,209.657216940363,204.0,1.0277314555900148,255.43912417170844,167.0,1.5295755938425657,286.6619490497372,167.0,1.7165386170642944
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,7,19177,9355,4875,9095,1,0,4875,111,9095,11,100,19,9.160714285714286,1.4627471940138963,119,262.5,6.0,110.0,57.5,19,48,16,7.763157894736842,1.9762051282051285,103,262.5,6.0,45.0,50.0,13,108,23,9.049180327868852,1.5045629466739967,120,242.5,6.0,70.0,57.5,122.45900587920896,115.0,1.0648609206887736,384.78994871794873,196.0,1.963214024071167,288.76576576576576,204.0,1.4155184596361068,254.8669160876537,167.0,1.5261491981296629,261.2872340425532,167.0,1.5645942158236716
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,8,75225,42805,22360,39209,3,7188,16429,56881,39209,26,139,39,17.217821782178216,1.7005022777712884,228,922.5,11.0,85.0,110.0,30,170,35,11.045045045045043,1.5033989266547405,135,657.5,15.0,90.0,65.0,34,184,59,14.387596899224809,1.8501109439159376,223,967.5,16.0,115.0,107.5,245.17125765164164,115.0,2.1319239795794926,671.4114675269341,196.0,3.4255687118721125,396.12280370809526,204.0,1.9417784495494863,313.38598294591753,167.0,1.8765627721312428,360.0047597461469,167.0,2.1557171242284245
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,9,27053,10373,2712,10372,1,0,2712,2965,10372,33,171,65,6.357142857142857,2.071917478068061,119,457.5,13.0,55.0,57.5,5,9,1,19.571428571428573,1.3982300884955752,61,107.5,5.0,30.0,27.5,33,171,67,6.348214285714286,2.07211723871963,119,457.5,13.0,55.0,57.5,135.1416176612359,115.0,1.1751445014020512,404.4026548672566,196.0,2.0632788513635543,284.7339606501283,204.0,1.3957547090692566,258.4617757640027,167.0,1.5476753039760642,258.07453605111044,167.0,1.5453565033000625
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,11,80053,46767,38572,35105,1,38572,0,76057,35105,55,257,68,13.392857142857142,1.7153762268266084,215,1262.5,20.0,145.0,105.0,67,292,76,11.423469387755102,1.9240122368557504,231,1242.5,14.0,150.0,112.5,78,357,99,9.2152466367713,1.9448511608033043,370,1247.5,10.0,200.0,182.5,319.01091465311623,115.0,2.7740079535053583,243.7936365385849,196.0,1.243845084380535,393.4118928812673,204.0,1.9284896709866044,297.9264652425856,167.0,1.783990809835842,410.1940824233885,167.0,2.456251990559213
E:\N9_20251512_PKM2.lif,N9_20251512_PKM2,0,clemastine/5/R13,N9_20251512_PKM2_S1_clemastine_5_R13,12,126936,40377,31947,16630,1,31947,0,79581,16630,73,286,70,11.67487684729064,2.5074175892215864,408,1612.5,16.0,135.0,189.93150684931507,53,219,55,12.051612903225806,2.404858046138917,280,1252.5,16.0,100.0,119.0,39,127,29,10.612903225806452,3.329585087191822,436,695.0,15.0,45.0,210.4794520547945,316.9041224528125,115.0,2.755688021328804,219.9086113381381,196.0,1.1219827109088676,311.4771170359888,204.0,1.5268486129215135,221.5462020457191,167.0,1.3266239643456232,257.1311119159725,167.0,1.5397072569818713
