calcium_label,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff
1,58.150180131196976,0.9375,4.888184634735808,27.570895224809647,30.57928490638733,0.07188506815787953,0.43763325753666105,0.4431780421215555,68.0,63.0,69.0,0.0,0.9375,0.9714285714285714,58.150180131196976,0.44053166766058316,0.44053166766058316,1800.776123046875,0.008136705495417118,0.061717838048934937
2,103.34772588312626,1.0,2.968868673313409,84.87997758388519,18.467748299241066,0.04365983343107954,1.347301231490241,0.26764852607595746,68.0,63.0,69.0,0.0,1.0,1.0,103.34772588312626,0.782937317296411,0.782937317296411,2325.7021484375,-0.0018337989458814263,0.03225460648536682
3,90.10799369215965,1.0,2.8000007239170372,71.55525979399681,18.552733898162842,0.04117648123407408,1.135797774507886,0.2688802014226499,68.0,63.0,69.0,0.0,1.0,0.9714285714285714,90.10799369215965,0.6826363158496943,0.6826363158496943,1960.4298095703125,0.0054901898838579655,0.036946915090084076
4,59.3175795301795,0.96875,0.02539158472791314,46.93573255836964,12.381846971809864,0.00037340565776342857,0.7450116279106291,0.1794470575624618,68.0,63.0,69.0,0.0,0.96875,0.7857142857142857,59.3175795301795,0.4493756025013598,0.4493756025013598,2335.7001953125,-0.004438533913344145,0.032118987292051315
5,99.02445515245199,1.0,0.21661849308293313,88.85248225927353,10.171972893178463,0.003185566074749017,1.41035686125831,0.14741989700258643,68.0,63.0,69.0,0.0,1.0,0.9857142857142858,99.02445515245199,0.7501852663064544,0.7501852663064544,2275.203125,-0.0016171842580661178,0.014501186087727547
6,95.49001051485538,1.0,5.688973169773817,72.46355518698692,23.02645532786846,0.08366137014373261,1.150215161698205,0.3337167438821516,68.0,63.0,69.0,0.043478260869565216,1.0,1.0,95.49001051485538,0.7234091705670862,0.7234091705670862,2682.919921875,0.005956394597887993,0.03012841008603573
7,1.1767772752791643,0.015625,0.6372992115502711,0.9954719096422195,0.18130536563694477,0.009372047228680458,0.015801141422892375,0.00262761399473833,68.0,63.0,69.0,0.0,0.015625,0.0,1.1767772752791643,0.008914979358175487,0.008914979358175487,3054.0166015625,0.002075111260637641,0.021892696619033813
8,75.01555862732494,1.0,0.26442577177658677,71.48263269662857,3.532925930696365,0.0038886142908321586,1.1346449634385487,0.05120182508255602,68.0,63.0,69.0,0.0,1.0,0.07142857142857142,75.01555862732494,0.5682996865706434,0.5682996865706434,3094.7080078125,0.0033409271854907274,0.02765292301774025
9,88.96297509246506,0.5625,0.18222958117257804,88.81235935445875,0.15061573800630867,0.002679846781949677,1.4097199897533135,0.0021828367827001257,68.0,63.0,69.0,0.0,0.5625,0.0,88.96297509246506,0.6739619325186746,0.6739619325186746,2964.12158203125,-0.0008438872173428535,0.04045790433883667
10,46.84787492034957,0.65625,0.05140219590975903,46.84787492034957,0.0,0.0007559146457317504,0.7436170622277709,0.0,68.0,63.0,69.0,0.0,0.65625,0.0,46.84787492034957,0.3549081433359816,0.3549081433359816,2465.45849609375,-0.0027925223112106323,0.025428200140595436
11,82.96609456068836,1.0,0.4979833303950727,74.9806655049324,7.985429055755958,0.007323284270515775,1.1901692937290858,0.11573085588052114,68.0,63.0,69.0,0.0,1.0,0.4,82.96609456068836,0.6285310193991542,0.6285310193991542,2508.64306640625,-0.0011275553843006492,0.022186091169714928
12,73.26959609985352,1.0,5.7400670003844425,37.782221257686615,35.4873748421669,0.08441275000565357,0.5997177977410574,0.5143097803212594,68.0,63.0,69.0,0.15942028985507245,1.0,1.0,73.26959609985352,0.555072697726163,0.555072697726163,1542.794921875,0.0039416030049324036,0.03196464851498604
