calcium_label,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff
1,150.8229143023491,1.0,0.5992893617367372,51.46558755636215,99.35732674598694,0.008813078849069664,0.989722837622349,1.3993989682533372,68.0,52.0,71.0,0.0,1.0,1.0,150.8229143023491,1.226202555303651,1.226202555303651,3680.6953125,-0.00024302593374159187,0.029193121939897537
2,143.27977705188096,0.9622641509433962,0.0,44.61452061124146,98.6652564406395,0.0,0.8579715502161819,1.3896514991639366,68.0,52.0,71.0,0.0,0.9622641509433962,1.0,143.27977705188096,1.164876236194154,1.164876236194154,2122.001953125,0.000331337156239897,0.01810959354043007
3,22.145634658634663,1.0,6.84040354937315,11.188338994979858,10.957295663654804,0.1005941698437228,0.2151603652880742,0.15432810793880006,68.0,52.0,71.0,0.2463768115942029,1.0,0.5277777777777778,22.145634658634663,0.18004581023280214,0.18004581023280214,6715.94580078125,-0.0027516894042491913,0.028443535789847374
4,119.32055389881134,1.0,7.095133855938911,42.13971096277237,77.18084293603897,0.10434020376380752,0.8103790569763917,1.0870541258597037,68.0,52.0,71.0,0.37681159420289856,1.0,1.0,119.32055389881134,0.9700858040553767,0.9700858040553767,4973.5537109375,-0.0009466848568990827,0.017161168158054352
5,149.41945958137512,1.0,0.0,60.021623849868774,89.39783573150635,0.0,1.1542619971128611,1.2591244469226246,68.0,52.0,71.0,0.0,1.0,1.0,149.41945958137512,1.214792354320123,1.214792354320123,3624.40673828125,-0.004641104023903608,0.023542949929833412
6,160.22179237008095,0.9811320754716981,0.02412557043135166,46.04070046544075,114.1810919046402,0.00035478780046105385,0.8853980858738606,1.6081843930231015,68.0,52.0,71.0,0.0,0.9811320754716981,1.0,160.22179237008095,1.3026161981307394,1.3026161981307394,1633.54296875,-0.007345972117036581,0.034942273050546646
7,1.4833843567757867,0.0,8.043955441564322,0.1658523494261317,1.317532007349655,0.1182934623759459,0.0031894682581948405,0.018556788835910634,68.0,52.0,71.0,0.4057971014492754,0.0,0.0,1.4833843567757867,0.012060035420941355,0.012060035420941355,1176.054443359375,-0.00618830556049943,0.027445783838629723
8,30.693572212941945,0.4339622641509434,1.2563636405393481,12.895492310635746,17.7980799023062,0.018475935890284532,0.2479902367429951,0.25067718172262254,68.0,52.0,71.0,0.0,0.4339622641509434,0.375,30.693572212941945,0.24954123750359306,0.24954123750359306,2538.77783203125,0.00581034179776907,0.03153827413916588
9,240.5086898803711,1.0,0.16161216178443283,92.15477657318115,148.35391330718994,0.0023766494380063653,1.7722072417919452,2.089491736720985,68.0,52.0,71.0,0.0,1.0,1.0,240.5086898803711,1.9553552022794398,1.9553552022794398,1704.773193359375,0.003352662082761526,0.030941272154450417
10,147.41249018907547,0.9811320754716981,0.8233722053701058,57.70540702342987,89.7070831656456,0.012108414784854497,1.1097193658351898,1.2634800445865577,68.0,52.0,71.0,0.0,0.9811320754716981,1.0,147.41249018907547,1.1984755299924834,1.1984755299924834,1622.416015625,0.0005639889859594405,0.030195973813533783
