stain_label,calcium_label,overlap_px,frac_stain,stain_area,calcium_area,calcium AUC,calcium response time,calcium_auc_w1,calcium_auc_w2,calcium_auc_w3,calcium_auc_norm_w1,calcium_auc_norm_w2,calcium_auc_norm_w3,calcium_active_time_w1,calcium_active_time_w2,calcium_active_time_w3,calcium_response_time_w1,calcium_response_time_w2,calcium_response_time_w3,calcium_auc_w2_w3,calcium_auc_norm_w2_w3,calcium_AUC_norm,calcium_baseline_F0,calcium_baseline_mean_dff,calcium_baseline_sd_dff,cell_area,O4_prop,O4_mfi_norm,PDGFRa_prop,PDGFRa_mfi_norm,MBP_prop,MBP_mfi_norm
470,362,5650,0.9612112963593059,5878,8052,42.998350582201965,0.16981132075471697,0.990273229428567,3.449345414759591,39.549005167442374,0.014562841609243633,0.06633356566845368,0.5492917384366997,68.0,52.0,72.0,0.0,0.16981132075471697,0.4383561643835616,42.998350582201965,0.34676089179195135,0.34676089179195135,951.108642578125,0.0029021394439041615,0.0319264680147171,5458,0.0,1.4434788819888207,0.0,0.8279770064364999,1.0,2.9202848179122443
431,334,5561,0.8583114678191078,6479,6272,31.376950034871697,0.46296296296296297,0.8340591699816287,6.76234504301101,24.614604991860688,0.012265576029141597,0.12759141590586812,0.3418695137758429,68.0,53.0,72.0,0.0,0.46296296296296297,0.6986301369863014,31.376950034871697,0.25101560027897357,0.25101560027897357,2185.077880859375,-0.0007043317309580743,0.01944791153073311,30,1.0,1.5084858728026913,0.0,0.8480368072247201,0.0,1.152139405370181
571,421,4551,1.0,4551,7127,152.16291761398315,0.9622641509433962,3.9244921933859587,26.205596804618835,125.95732080936432,0.05771312049096998,0.5039537847042084,1.7494072334633932,68.0,52.0,72.0,0.0,0.9622641509433962,1.0,152.16291761398315,1.2271203033385738,1.2271203033385738,952.6903076171875,-0.0019108543638139963,0.02550273761153221,5763,0.9167100468505986,1.6364590815239333,0.4023945861530453,1.5433740617429887,0.11417664410897102,1.4156740298128114
276,216,4527,0.8923713778829095,5073,8586,247.2531281709671,1.0,3.0816191844642162,83.63542354106903,163.61770462989807,0.0453179291832973,1.5780268592654534,2.2724681198596954,68.0,53.0,72.0,0.0,1.0,1.0,247.2531281709671,1.9780250253677367,1.9780250253677367,1477.36083984375,-0.0050482056103646755,0.02606048434972763,4915,0.7953204476093592,1.6268703491739198,0.19552390640895217,1.2215301221822148,0.45717192268565615,1.9653534297890778
362,293,4240,0.9120240912024091,4649,5510,160.01495176553726,0.6851851851851852,0.950572028523311,57.28884673118591,102.72610503435135,0.013979000419460456,1.08092163643747,1.4267514588104353,68.0,53.0,72.0,0.0,0.6851851851851852,0.8356164383561644,160.01495176553726,1.280119614124298,1.280119614124298,1667.753173828125,-0.03750722110271454,0.17266705632209778,6276,0.8881453154875717,1.5698786265461058,0.25334608030592737,1.3135244128418813,0.7989165073295093,2.6248006141276896
577,431,3963,0.9222713521061205,4297,5818,97.75241491221823,0.3018867924528302,3.2464191805338487,5.22913333796896,92.52328157424927,0.04774145853726248,0.10056025649940309,1.2850455774201288,68.0,52.0,72.0,0.014492753623188406,0.3018867924528302,1.0,97.75241491221823,0.7883259267114373,0.7883259267114373,1177.4384765625,0.0035129543393850327,0.0307843629270792,3,0.0,1.2528981793207525,1.0,1.5695716469724015,0.0,1.1336308239017296
283,218,3940,0.7850169356445507,5019,5247,153.2386909723282,1.0,0.18611612607492134,50.77165800333023,102.46703296899796,0.0027370018540429607,0.9579558113835892,1.4231532356805272,68.0,53.0,72.0,0.0,1.0,1.0,153.2386909723282,1.2259095277786254,1.2259095277786254,1987.932373046875,0.0006070495001040399,0.02530554123222828,3733,0.9560675060273238,1.5534116242844596,0.0,0.7332938178681118,0.18965979105277256,1.5420370902150862
234,171,3938,0.8687403485550408,4533,9791,102.22782906889915,1.0,0.03635072527686134,28.008573323488235,74.21925574541092,0.000542548138460617,0.5284636476129856,1.0308229964640405,67.0,53.0,72.0,0.0,1.0,1.0,102.22782906889915,0.8178226325511933,0.8178226325511933,1723.850341796875,-0.0029220145661383867,0.01688622310757637,5244,0.5688405797101449,1.3382641920141107,0.7360793287566743,1.9697928831589406,0.0,1.1049411965806
232,175,3920,1.0,3920,7894,157.81599032878876,1.0,0.03374359000008553,50.816190004348755,106.99980032444,0.0005036356716430677,0.958796037817901,1.4861083378394444,67.0,53.0,72.0,0.0,1.0,1.0,157.81599032878876,1.26252792263031,1.26252792263031,1414.237060546875,0.009710989892482758,0.04626573622226715,3726,1.0,1.832677899363184,0.0,0.8718992780756495,0.0,1.1576942438293107
525,405,3520,0.9086215797625193,3874,4744,7.153342877107207,0.0,0.0254425969615113,0.6416423299233429,6.511700547183864,0.0003741558376692838,0.012339275575448902,0.09044028537755366,68.0,52.0,72.0,0.0,0.0,0.0547945205479452,7.153342877107207,0.057688249008929084,0.057688249008929084,2166.3349609375,0.0006054043769836426,0.035520829260349274,0,0.0,,0.0,,0.0,
